NBCC Sa(0.3) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
Longitude,Latitude,Parameter,0.02,0.01375,0.01,0.00445,0.0021,0.001,0.0005,0.000404,0.0002,0.0001,Ref No.,Location,Prov.
-121.283,51.65,0.3,0.0136,0.0178,0.0222,0.0374,0.0579,0.0857,0.1211,0.1345,0.1879,0.2597,1,100 Mile House,BC
-122.329,49.052,0.3,0.1063,0.1348,0.1624,0.2506,0.3545,0.4838,0.6336,0.6847,0.8786,1.1122,2,Abbotsford,BC
-121.77,49.23,0.3,0.0693,0.0876,0.1059,0.1623,0.23,0.3129,0.4073,0.4409,0.5673,0.7252,3,Agassiz,BC
-124.8,49.27,0.3,0.0967,0.1252,0.1558,0.2695,0.4371,0.6604,0.9061,0.9923,1.2803,1.5947,4,Alberni,BC
-121.28,50.72,0.3,0.0211,0.0274,0.0338,0.0556,0.0845,0.1233,0.1711,0.1885,0.2569,0.3438,5,Ashcroft,BC
-121.4,57.38,0.3,0.0056,0.0082,0.0113,0.0225,0.0394,0.0643,0.0971,0.1096,0.1613,0.2319,6,Beatton River,BC
-125.75,54.23,0.3,0.0101,0.0127,0.0154,0.0245,0.0368,0.0554,0.0824,0.0932,0.139,0.2024,7,Burns Lake,BC
-121.32,50.8,0.3,0.0205,0.0266,0.0329,0.0542,0.0827,0.1209,0.168,0.1852,0.2526,0.3384,8,Cache Creek,BC
-125.24,50.02,0.3,0.0724,0.091,0.1104,0.1805,0.2796,0.411,0.5597,0.6141,0.8019,1.0232,9,Campbell River,BC
-119.12,49.5,0.3,0.0166,0.0212,0.0259,0.0416,0.0621,0.0897,0.1241,0.137,0.1882,0.2564,10,Carmi,BC
-117.67,49.32,0.3,0.0132,0.017,0.0207,0.0333,0.0502,0.0748,0.1082,0.1212,0.1748,0.2471,11,Castlegar,BC
-121.63,55.7,0.3,0.0057,0.0088,0.0125,0.0275,0.0518,0.0897,0.1413,0.1607,0.241,0.348,12,Chetwynd,BC
-121.95,49.167,0.3,0.08,0.1016,0.1221,0.188,0.2668,0.3635,0.4764,0.516,0.6694,0.8606,13,Chilliwack,BC
-124.93,49.68,0.3,0.0779,0.0992,0.1217,0.2038,0.3199,0.4722,0.6492,0.7086,0.9228,1.165,14,Comox,BC
-124.98,49.68,0.3,0.0779,0.0991,0.1214,0.2034,0.3201,0.475,0.6553,0.7161,0.9337,1.1787,15,Courtenay,BC
-115.77,49.5,0.3,0.0191,0.0255,0.0318,0.0521,0.0778,0.1107,0.1507,0.1652,0.2224,0.2964,16,Cranbrook,BC
-117.55,49.45,0.3,0.0131,0.0169,0.0207,0.0334,0.0507,0.0755,0.1091,0.122,0.1755,0.2477,17,Crescent Valley,BC
-123.65,48.87,0.3,0.1712,0.2204,0.2703,0.4313,0.6211,0.84,1.0775,1.1538,1.4368,1.7441,18,Crofton,BC
-120.23,55.77,0.3,0.0052,0.0084,0.012,0.0251,0.0449,0.0748,0.1147,0.13,0.1921,0.2754,19,Dawson Creek,BC
-122.3,51.58,0.3,0.0168,0.022,0.0275,0.0467,0.0726,0.107,0.1492,0.1645,0.2251,0.3031,20,Dog Creek,BC
-123.7,48.78,0.3,0.1749,0.2251,0.2762,0.4425,0.6406,0.8704,1.1181,1.1994,1.4926,1.8138,21,Duncan,BC
-115.12,49.3,0.3,0.0253,0.0338,0.0425,0.0696,0.1029,0.1444,0.1929,0.2101,0.2769,0.3604,22,Elko,BC
-115.07,49.5,0.3,0.0231,0.031,0.0389,0.0649,0.098,0.1419,0.1972,0.2178,0.3019,0.4156,23,Fernie,BC
-122.7,58.83,0.3,0.0127,0.0169,0.0211,0.0353,0.0541,0.0799,0.1126,0.1248,0.1747,0.2422,24,Fort Nelson,BC
-120.85,56.25,0.3,0.0048,0.0078,0.0114,0.0242,0.0436,0.0723,0.1105,0.125,0.1842,0.2623,25,Fort St. John,BC
-117.52,51.27,0.3,0.0123,0.0174,0.023,0.0439,0.0739,0.1158,0.1692,0.1889,0.2668,0.3669,26,Glacier,BC
-116.97,51.3,0.3,0.0129,0.0188,0.0253,0.0503,0.0871,0.1399,0.208,0.234,0.3379,0.4764,27,Golden,BC
-118.45,49.03,0.3,0.0147,0.0187,0.0227,0.0362,0.0543,0.0799,0.1133,0.126,0.1784,0.2491,28,Grand Forks,BC
-118.68,49.1,0.3,0.0155,0.0197,0.0241,0.0384,0.0576,0.084,0.1179,0.1307,0.1825,0.252,29,Greenwood,BC
-121.44,49.38,0.3,0.0524,0.0668,0.0807,0.1247,0.1783,0.2442,0.3208,0.3478,0.4534,0.587,30,Hope,BC
-120.32,50.67,0.3,0.0164,0.0211,0.026,0.0422,0.0637,0.0923,0.128,0.1412,0.1935,0.2624,31,Kamloops,BC
-116.92,49.92,0.3,0.0133,0.0176,0.0219,0.0367,0.0569,0.0853,0.1215,0.1352,0.1892,0.2603,32,Kaslo,BC
-119.48,49.88,0.3,0.0169,0.0217,0.0265,0.0426,0.0635,0.0913,0.126,0.1388,0.1899,0.2575,33,Kelowna,BC
-115.98,49.68,0.3,0.0171,0.0227,0.0284,0.0471,0.0714,0.1037,0.1438,0.1585,0.2169,0.2926,34,Kimberley,BC
-128.63,54.05,0.3,0.03,0.0363,0.0427,0.063,0.0877,0.1185,0.1546,0.1675,0.2195,0.2907,35,Kitimat Plant,BC
-128.65,54.07,0.3,0.03,0.0363,0.0427,0.0631,0.0878,0.1186,0.1547,0.1676,0.2195,0.2907,36,Kitimat Townsite,BC
-121.93,50.68,0.3,0.0263,0.0343,0.0428,0.0716,0.1106,0.1645,0.2333,0.2591,0.3644,0.507,37,Lillooet,BC
-121.57,50.23,0.3,0.0314,0.0404,0.0496,0.0804,0.1208,0.1756,0.2442,0.2698,0.374,0.5147,38,Lytton,BC
-123.08,55.3,0.3,0.006,0.0087,0.012,0.0257,0.0487,0.0848,0.1344,0.1531,0.2309,0.3364,39,Mackenzie,BC
-132.1,54.02,0.3,0.1642,0.2012,0.2378,0.3451,0.4673,0.6101,0.7574,0.8047,0.9795,1.1723,40,Masset,BC
-120.17,53.3,0.3,0.01,0.0147,0.0201,0.0415,0.0749,0.1255,0.1952,0.2223,0.3343,0.4862,41,McBride,BC
-123.03,54.98,0.3,0.0062,0.0089,0.012,0.0249,0.0462,0.0797,0.1253,0.1429,0.2151,0.314,42,McLeod Lake,BC
-120.783,50.1,0.3,0.0253,0.0324,0.0396,0.0635,0.0941,0.1346,0.184,0.2018,0.2725,0.3632,43,Merritt,BC
-122.3,49.13,0.3,0.0976,0.1235,0.1492,0.2302,0.3265,0.4459,0.5816,0.63,0.8097,1.0288,44,Mission City,BC
-117.58,49.08,0.3,0.0136,0.0175,0.0213,0.034,0.0508,0.075,0.1079,0.1207,0.1742,0.2472,45,Montrose,BC
-117.8,50.23,0.3,0.0119,0.0157,0.0195,0.0331,0.0519,0.0789,0.1139,0.1271,0.1802,0.2505,46,Nakusp,BC
-123.93,49.17,0.3,0.1424,0.185,0.2285,0.3706,0.5425,0.7521,0.9722,1.0471,1.3101,1.5999,47,Nanaimo,BC
-117.28,49.48,0.3,0.0134,0.0174,0.0213,0.0346,0.0523,0.0777,0.1113,0.1241,0.1771,0.249,48,Nelson,BC
-127.7,52.35,0.3,0.0413,0.0491,0.0567,0.08,0.1072,0.1406,0.1788,0.1925,0.2459,0.3181,49,Ocean Falls,BC
-119.5,49.03,0.3,0.0222,0.0284,0.0346,0.055,0.081,0.1147,0.1557,0.1706,0.2286,0.303,50,Osoyoos,BC
-119.58,49.5,0.3,0.02,0.0256,0.0312,0.0496,0.0733,0.1043,0.1417,0.1552,0.2086,0.2774,51,Penticton,BC
-124.8,49.233,0.3,0.0984,0.1275,0.1587,0.2754,0.4482,0.6822,0.9394,1.0293,1.3286,1.6519,52,Port Alberni,BC
-127.42,50.7,0.3,0.1402,0.1745,0.2065,0.305,0.4125,0.5351,0.6708,0.7157,0.8734,1.0521,53,Port Hardy,BC
-127.1,50.58,0.3,0.138,0.1715,0.2034,0.3021,0.4128,0.5413,0.6838,0.7316,0.898,1.0856,54,Port McNeill,BC
-124.52,49.83,0.3,0.0734,0.0941,0.1158,0.1907,0.2888,0.4126,0.5519,0.6027,0.7824,0.9952,55,Powell River,BC
-122.75,53.92,0.3,0.0072,0.01,0.0128,0.0235,0.0397,0.0645,0.0979,0.1104,0.1616,0.2298,56,Prince George,BC
-130.32,54.32,0.3,0.0559,0.0674,0.0786,0.1129,0.1528,0.1989,0.2492,0.2657,0.3269,0.3981,57,Prince Rupert,BC
-120.51,49.5,0.3,0.0312,0.0398,0.0484,0.0771,0.1131,0.1613,0.2213,0.2437,0.3351,0.46,58,Princeton,BC
-124.45,49.35,0.3,0.106,0.1382,0.172,0.2902,0.4443,0.6354,0.8415,0.9109,1.1585,1.437,59,Qualicum Beach,BC
-122.48,52.98,0.3,0.0093,0.0123,0.0155,0.0266,0.0419,0.0636,0.0925,0.1036,0.1495,0.2121,60,Quesnel,BC
