NBCC PGA values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
Longitude,Latitude,Parameter,0.02,0.01375,0.01,0.00445,0.0021,0.001,0.0005,0.000404,0.0002,0.0001,Ref No.,Location,Prov.
-121.283,51.65,PGA,0.0044,0.006,0.0078,0.0148,0.0247,0.0387,0.0569,0.0638,0.0926,0.1336,1,100 Mile House,BC
-122.329,49.052,PGA,0.045,0.0575,0.0698,0.1086,0.1555,0.214,0.2822,0.3065,0.3968,0.5055,2,Abbotsford,BC
-121.77,49.23,PGA,0.028,0.036,0.0441,0.07,0.1019,0.1419,0.189,0.2058,0.2715,0.3546,3,Agassiz,BC
-124.8,49.27,PGA,0.0399,0.0524,0.0658,0.1155,0.1896,0.2897,0.3987,0.4366,0.5621,0.7018,4,Alberni,BC
-121.28,50.72,PGA,0.007,0.0096,0.0124,0.0227,0.0373,0.0575,0.0824,0.0915,0.1276,0.1754,5,Ashcroft,BC
-121.4,57.38,PGA,0.0017,0.003,0.0045,0.0114,0.0228,0.041,0.0677,0.0786,0.1268,0.1964,6,Beatton River,BC
-125.75,54.23,PGA,0.0039,0.0054,0.0071,0.0126,0.0186,0.0268,0.0386,0.0433,0.066,0.1003,7,Burns Lake,BC
-121.32,50.8,PGA,0.0067,0.0093,0.012,0.0221,0.0365,0.0564,0.081,0.0898,0.1255,0.1728,8,Cache Creek,BC
-125.24,50.02,PGA,0.0278,0.0362,0.0451,0.0785,0.1252,0.1866,0.2574,0.282,0.3729,0.4812,9,Campbell River,BC
-119.12,49.5,PGA,0.0049,0.0066,0.0084,0.0154,0.0256,0.04,0.0583,0.0651,0.0929,0.1312,10,Carmi,BC
-117.67,49.32,PGA,0.0036,0.0048,0.0062,0.0117,0.0201,0.0329,0.0507,0.0577,0.0872,0.1286,11,Castlegar,BC
-121.63,55.7,PGA,0.0028,0.0042,0.0057,0.0128,0.0252,0.0447,0.0717,0.082,0.1246,0.183,12,Chetwynd,BC
-121.95,49.167,PGA,0.033,0.0425,0.0516,0.0816,0.1183,0.1653,0.2213,0.2417,0.3212,0.4227,13,Chilliwack,BC
-124.93,49.68,PGA,0.0306,0.0401,0.0503,0.0878,0.1408,0.21,0.29,0.3171,0.4164,0.5262,14,Comox,BC
-124.98,49.68,PGA,0.0305,0.0399,0.0501,0.0876,0.1413,0.2118,0.2934,0.3206,0.4216,0.5323,15,Courtenay,BC
-115.77,49.5,PGA,0.0059,0.0084,0.0111,0.0195,0.031,0.0469,0.0674,0.0751,0.1064,0.1494,16,Cranbrook,BC
-117.55,49.45,PGA,0.0036,0.0048,0.0062,0.0118,0.0202,0.0329,0.0507,0.0578,0.0872,0.1286,17,Crescent Valley,BC
-123.65,48.87,PGA,0.0741,0.0949,0.1157,0.1835,0.2631,0.3557,0.4569,0.4889,0.6112,0.7397,18,Crofton,BC
-120.23,55.77,PGA,0.0019,0.0034,0.0049,0.0122,0.0239,0.0426,0.0694,0.0801,0.1271,0.1955,19,Dawson Creek,BC
-122.3,51.58,PGA,0.0056,0.0078,0.0104,0.0195,0.0322,0.0494,0.0711,0.079,0.1111,0.155,20,Dog Creek,BC
-123.7,48.78,PGA,0.0758,0.0971,0.1184,0.1884,0.272,0.3696,0.4748,0.5089,0.6357,0.7711,21,Duncan,BC
-115.12,49.3,PGA,0.0087,0.0123,0.0158,0.0277,0.0433,0.0637,0.0885,0.0977,0.1337,0.1817,22,Elko,BC
-115.07,49.5,PGA,0.0077,0.0111,0.0144,0.0259,0.0419,0.0646,0.0946,0.1061,0.155,0.2249,23,Fernie,BC
-122.7,58.83,PGA,0.0038,0.0054,0.0072,0.0145,0.0256,0.0435,0.07,0.0809,0.1292,0.1972,24,Fort Nelson,BC
-120.85,56.25,PGA,0.0018,0.0032,0.0047,0.0119,0.0234,0.0418,0.0682,0.0789,0.1256,0.1935,25,Fort St. John,BC
-117.52,51.27,PGA,0.0042,0.0063,0.0089,0.0184,0.0327,0.0541,0.0825,0.0931,0.1359,0.1918,26,Glacier,BC
-116.97,51.3,PGA,0.0046,0.0072,0.0103,0.0221,0.0406,0.0685,0.106,0.1202,0.1795,0.2596,27,Golden,BC
-118.45,49.03,PGA,0.0041,0.0055,0.007,0.013,0.0223,0.0359,0.0538,0.0607,0.089,0.129,28,Grand Forks,BC
-118.68,49.1,PGA,0.0044,0.0059,0.0076,0.014,0.0237,0.0377,0.0558,0.0626,0.0906,0.1298,29,Greenwood,BC
-121.44,49.38,PGA,0.0204,0.0264,0.0326,0.0528,0.0788,0.112,0.1522,0.1669,0.2249,0.3011,30,Hope,BC
-120.32,50.67,PGA,0.005,0.0068,0.0088,0.0161,0.0267,0.0416,0.0603,0.0671,0.0951,0.1338,31,Kamloops,BC
-116.92,49.92,PGA,0.0039,0.0053,0.0071,0.0136,0.0229,0.0366,0.0553,0.0626,0.092,0.133,32,Kaslo,BC
-119.48,49.88,PGA,0.0051,0.0068,0.0087,0.0158,0.0262,0.0407,0.0591,0.0659,0.0935,0.1315,33,Kelowna,BC
-115.98,49.68,PGA,0.0052,0.0073,0.0097,0.0176,0.0286,0.0444,0.0653,0.0731,0.105,0.1484,34,Kimberley,BC
-128.63,54.05,PGA,0.0105,0.014,0.0176,0.0283,0.0406,0.0554,0.0731,0.0797,0.107,0.1487,35,Kitimat Plant,BC
-128.65,54.07,PGA,0.0105,0.014,0.0176,0.0283,0.0406,0.0554,0.0731,0.0797,0.107,0.1486,36,Kitimat Townsite,BC
-121.93,50.68,PGA,0.0092,0.0127,0.0164,0.0307,0.051,0.0803,0.1179,0.1323,0.1916,0.2727,37,Lillooet,BC
-121.57,50.23,PGA,0.0111,0.0149,0.019,0.0338,0.0547,0.0842,0.122,0.1364,0.1949,0.2745,38,Lytton,BC
-123.08,55.3,PGA,0.0031,0.0043,0.0056,0.0111,0.0211,0.0386,0.0641,0.074,0.1153,0.1735,39,Mackenzie,BC
-132.1,54.02,PGA,0.0756,0.0934,0.1103,0.1596,0.2129,0.2744,0.3401,0.3622,0.4448,0.5388,40,Masset,BC
-120.17,53.3,PGA,0.0038,0.0057,0.008,0.0178,0.0342,0.0613,0.1006,0.1164,0.1863,0.2874,41,McBride,BC
-123.03,54.98,PGA,0.0032,0.0043,0.0056,0.0107,0.0197,0.0355,0.0587,0.0679,0.1066,0.1614,42,McLeod Lake,BC
-120.783,50.1,PGA,0.0084,0.0114,0.0144,0.0254,0.0409,0.0623,0.0883,0.098,0.1359,0.1854,43,Merritt,BC
-122.3,49.13,PGA,0.0409,0.0521,0.0636,0.0994,0.1429,0.197,0.2605,0.2829,0.3682,0.473,44,Mission City,BC
-117.58,49.08,PGA,0.0036,0.0049,0.0063,0.0118,0.02,0.0327,0.0504,0.0575,0.0871,0.1289,45,Montrose,BC
-117.8,50.23,PGA,0.0035,0.0048,0.0063,0.0125,0.0213,0.0345,0.0524,0.0595,0.0885,0.1288,46,Nakusp,BC
-123.93,49.17,PGA,0.0615,0.0797,0.0983,0.1587,0.2325,0.32,0.4157,0.447,0.5592,0.686,47,Nanaimo,BC
-117.28,49.48,PGA,0.0037,0.005,0.0065,0.0123,0.0206,0.0333,0.051,0.0581,0.0876,0.1291,48,Nelson,BC
-127.7,52.35,PGA,0.014,0.0178,0.0215,0.0334,0.0473,0.0642,0.0837,0.0908,0.1201,0.1634,49,Ocean Falls,BC
-119.5,49.03,PGA,0.007,0.0095,0.0121,0.0212,0.034,0.0515,0.0732,0.081,0.112,0.1529,50,Osoyoos,BC
-119.58,49.5,PGA,0.0062,0.0083,0.0107,0.0188,0.0305,0.0465,0.0663,0.0734,0.102,0.1401,51,Penticton,BC
-124.8,49.233,PGA,0.0406,0.0534,0.0671,0.1181,0.1949,0.3001,0.4143,0.451,0.5838,0.7273,52,Port Alberni,BC
