NBCC PGV values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
Longitude,Latitude,Parameter,0.02,0.01375,0.01,0.00445,0.0021,0.001,0.0005,0.000404,0.0002,0.0001,Ref No.,Location,Prov.
-121.283,51.65,PGV,0.0121,0.0157,0.0194,0.0322,0.0495,0.0734,0.1022,0.112,0.15,0.1944,1,100 Mile House,BC
-122.329,49.052,PGV,0.0491,0.0647,0.0808,0.1362,0.2077,0.302,0.4096,0.4469,0.5852,0.7465,2,Abbotsford,BC
-121.77,49.23,PGV,0.0334,0.0436,0.0539,0.0896,0.1376,0.2014,0.2786,0.3063,0.4055,0.5202,3,Agassiz,BC
-124.8,49.27,PGV,0.0495,0.0658,0.0839,0.155,0.2684,0.4329,0.6239,0.6871,0.9176,1.1715,4,Alberni,BC
-121.28,50.72,PGV,0.015,0.0194,0.0241,0.0403,0.0633,0.0955,0.1357,0.1497,0.2025,0.2641,5,Ashcroft,BC
-121.4,57.38,PGV,0.0046,0.006,0.0075,0.0131,0.0216,0.0342,0.0511,0.0577,0.0848,0.1226,6,Beatton River,BC
-125.75,54.23,PGV,0.0185,0.024,0.0294,0.0458,0.0646,0.0857,0.1086,0.1161,0.1438,0.1749,7,Burns Lake,BC
-121.32,50.8,PGV,0.0148,0.0192,0.0237,0.0398,0.0624,0.0942,0.1335,0.1472,0.1989,0.2592,8,Cache Creek,BC
-125.24,50.02,PGV,0.0392,0.0509,0.0635,0.1151,0.1975,0.3132,0.4446,0.4873,0.6525,0.8333,9,Campbell River,BC
-119.12,49.5,PGV,0.0115,0.0149,0.0184,0.0305,0.0475,0.0721,0.1035,0.1144,0.1566,0.2055,10,Carmi,BC
-117.67,49.32,PGV,0.0093,0.0124,0.0154,0.0255,0.0391,0.0576,0.0804,0.0885,0.1193,0.1563,11,Castlegar,BC
-121.63,55.7,PGV,0.0073,0.0101,0.0126,0.0205,0.0307,0.0447,0.0636,0.071,0.1024,0.1476,12,Chetwynd,BC
-121.95,49.167,PGV,0.0378,0.0495,0.0617,0.1028,0.1576,0.2309,0.3171,0.3465,0.4595,0.5923,13,Chilliwack,BC
-124.93,49.68,PGV,0.0418,0.0547,0.0689,0.125,0.214,0.3395,0.486,0.5363,0.7219,0.9232,14,Comox,BC
-124.98,49.68,PGV,0.0418,0.0546,0.0687,0.1249,0.2151,0.3425,0.4913,0.5426,0.7309,0.9351,15,Courtenay,BC
-115.77,49.5,PGV,0.0097,0.0132,0.0167,0.0283,0.0426,0.0606,0.0811,0.0882,0.1154,0.1486,16,Cranbrook,BC
-117.55,49.45,PGV,0.0091,0.0122,0.0152,0.0252,0.0385,0.0565,0.0787,0.0864,0.1162,0.152,17,Crescent Valley,BC
-123.65,48.87,PGV,0.0794,0.1066,0.1353,0.2348,0.3606,0.5179,0.6965,0.758,0.9704,1.2062,18,Crofton,BC
-120.23,55.77,PGV,0.0037,0.005,0.0064,0.0122,0.0213,0.035,0.0536,0.0609,0.0906,0.1317,19,Dawson Creek,BC
-122.3,51.58,PGV,0.0151,0.0195,0.0241,0.0398,0.0615,0.0908,0.1262,0.139,0.185,0.2387,20,Dog Creek,BC
-123.7,48.78,PGV,0.081,0.1086,0.1378,0.2401,0.3714,0.5366,0.7246,0.7875,1.0151,1.2614,21,Duncan,BC
-115.12,49.3,PGV,0.0112,0.0153,0.0195,0.0331,0.0498,0.071,0.0953,0.104,0.1364,0.176,22,Elko,BC
-115.07,49.5,PGV,0.0106,0.0146,0.0185,0.0316,0.0479,0.0692,0.0945,0.1037,0.1399,0.1881,23,Fernie,BC
-122.7,58.83,PGV,0.0072,0.0095,0.0118,0.0198,0.0309,0.0462,0.0656,0.0728,0.1013,0.1388,24,Fort Nelson,BC
-120.85,56.25,PGV,0.0037,0.005,0.0063,0.0118,0.0205,0.034,0.0522,0.0594,0.0883,0.1281,25,Fort St. John,BC
-117.52,51.27,PGV,0.0077,0.0107,0.0137,0.0238,0.0374,0.056,0.0789,0.0871,0.1195,0.1614,26,Glacier,BC
-116.97,51.3,PGV,0.0076,0.0107,0.0138,0.0246,0.0395,0.0605,0.0875,0.0978,0.1399,0.1986,27,Golden,BC
-118.45,49.03,PGV,0.0105,0.0137,0.0169,0.028,0.0435,0.0655,0.0933,0.1036,0.1418,0.1864,28,Grand Forks,BC
-118.68,49.1,PGV,0.0109,0.0142,0.0175,0.029,0.0451,0.0683,0.0978,0.1084,0.1484,0.1951,29,Greenwood,BC
-121.44,49.38,PGV,0.0266,0.0346,0.0429,0.0711,0.1096,0.1628,0.2278,0.2509,0.3361,0.4371,30,Hope,BC
-120.32,50.67,PGV,0.012,0.0156,0.0193,0.0323,0.0506,0.0765,0.1082,0.1195,0.1623,0.2117,31,Kamloops,BC
-116.92,49.92,PGV,0.0085,0.0116,0.0145,0.0243,0.0369,0.0533,0.073,0.0799,0.1061,0.1381,32,Kaslo,BC
-119.48,49.88,PGV,0.0117,0.0151,0.0187,0.0313,0.0488,0.0741,0.1058,0.1169,0.1599,0.2095,33,Kelowna,BC
-115.98,49.68,PGV,0.0093,0.0126,0.0159,0.0268,0.0404,0.0575,0.0777,0.0845,0.1111,0.1438,34,Kimberley,BC
-128.63,54.05,PGV,0.0365,0.0472,0.0578,0.0895,0.1251,0.1661,0.2089,0.2236,0.2745,0.3305,35,Kitimat Plant,BC
-128.65,54.07,PGV,0.0365,0.0472,0.0578,0.0895,0.1251,0.1661,0.2089,0.2236,0.2745,0.3305,36,Kitimat Townsite,BC
-121.93,50.68,PGV,0.018,0.0233,0.0289,0.0489,0.0777,0.1184,0.1694,0.1875,0.2561,0.3368,37,Lillooet,BC
-121.57,50.23,PGV,0.0192,0.0249,0.0309,0.0519,0.0819,0.1247,0.1788,0.1974,0.2703,0.355,38,Lytton,BC
-123.08,55.3,PGV,0.0097,0.0129,0.016,0.0256,0.0369,0.0515,0.0695,0.0762,0.1042,0.1448,39,Mackenzie,BC
-132.1,54.02,PGV,0.1041,0.1378,0.1693,0.2625,0.3619,0.4751,0.5962,0.6355,0.7744,0.9227,40,Masset,BC
-120.17,53.3,PGV,0.008,0.0111,0.0142,0.0248,0.0391,0.0594,0.0864,0.0968,0.1409,0.2044,41,McBride,BC
-123.03,54.98,PGV,0.0101,0.0134,0.0165,0.0264,0.0381,0.0528,0.0706,0.077,0.1033,0.1403,42,McLeod Lake,BC
-120.783,50.1,PGV,0.0159,0.0205,0.0254,0.0425,0.0666,0.1013,0.1447,0.1602,0.2185,0.2866,43,Merritt,BC
-122.3,49.13,PGV,0.0457,0.0601,0.0751,0.1259,0.1931,0.2806,0.3813,0.4179,0.5467,0.6995,44,Mission City,BC
-117.58,49.08,PGV,0.0094,0.0125,0.0156,0.0259,0.0397,0.0583,0.0811,0.0892,0.1202,0.1573,45,Montrose,BC
-117.8,50.23,PGV,0.0086,0.0115,0.0144,0.024,0.0367,0.0541,0.0756,0.0831,0.1118,0.1465,46,Nakusp,BC
-123.93,49.17,PGV,0.0671,0.0903,0.1151,0.2037,0.3209,0.4667,0.6328,0.6876,0.8863,1.1104,47,Nanaimo,BC
-117.28,49.48,PGV,0.009,0.012,0.0151,0.0251,0.0381,0.0555,0.0767,0.084,0.1122,0.1464,48,Nelson,BC
-127.7,52.35,PGV,0.0402,0.0518,0.0637,0.1,0.1415,0.1892,0.2411,0.2575,0.3183,0.3844,49,Ocean Falls,BC
-119.5,49.03,PGV,0.0137,0.0177,0.0218,0.0363,0.0569,0.0867,0.1248,0.1389,0.1896,0.2491,50,Osoyoos,BC
-119.58,49.5,PGV,0.0129,0.0167,0.0206,0.0343,0.0537,0.0816,0.1168,0.1297,0.1778,0.2328,51,Penticton,BC
-124.8,49.233,PGV,0.0502,0.0667,0.0851,0.1575,0.2739,0.4423,0.6396,0.7057,0.9432,1.2032,52,Port Alberni,BC
-127.42,50.7,PGV,0.0637,0.0837,0.1051,0.1797,0.272,0.3825,0.5014,0.5417,0.6865,0.8422,53,Port Hardy,BC
-127.1,50.58,PGV,0.0616,0.0808,0.1014,0.1751,0.2701,0.3857,0.5113,0.5546,0.7083,0.8732,54,Port McNeill,BC
-124.52,49.83,PGV,0.0399,0.0523,0.0658,0.1171,0.1926,0.2966,0.4177,0.458,0.6126,0.7839,55,Powell River,BC
-122.75,53.92,PGV,0.0112,0.0146,0.0181,0.0288,0.0417,0.0574,0.0758,0.082,0.1063,0.1357,56,Prince George,BC
-130.32,54.32,PGV,0.0524,0.0679,0.0827,0.1277,0.1782,0.2347,0.2944,0.3141,0.3821,0.4585,57,Prince Rupert,BC
-120.51,49.5,PGV,0.0176,0.0229,0.0283,0.0474,0.0747,0.1138,0.1639,0.1821,0.2502,0.3297,58,Princeton,BC
-124.45,49.35,PGV,0.0529,0.0708,0.0903,0.1642,0.2708,0.4137,0.5752,0.6322,0.8299,1.0542,59,Qualicum Beach,BC
-122.48,52.98,PGV,0.0122,0.0158,0.0195,0.0314,0.0462,0.0653,0.0873,0.0951,0.1241,0.1585,60,Quesnel,BC
-118.2,50.98,PGV,0.0082,0.0111,0.0139,0.0236,0.0364,0.0537,0.0749,0.0822,0.1103,0.1441,61,Revelstoke,BC
-119.28,50.7,PGV,0.0097,0.0127,0.0158,0.0266,0.0415,0.0622,0.0876,0.0969,0.1314,0.1721,62,Salmon Arm,BC
-131.82,53.25,PGV,0.1316,0.1776,0.2208,0.3489,0.4883,0.649,0.8135,0.8665,1.0605,1.2669,63,Sandspit,BC
-123.4,48.65,PGV,0.0864,0.1154,0.1458,0.2495,0.3804,0.5438,0.7293,0.7911,1.0168,1.2619,64,Sidney,BC
-126.43,59.88,PGV,0.0195,0.026,0.0329,0.0583,0.0957,0.1516,0.2264,0.255,0.3711,0.5261,65,Smith River,BC
-127.167,54.783,PGV,0.0221,0.0285,0.0346,0.0536,0.0754,0.0998,0.1253,0.1342,0.1645,0.1986,66,Smithers,BC
-123.15,49.7,PGV,0.04,0.0528,0.0664,0.1145,0.1808,0.2671,0.3674,0.4033,0.5314,0.6833,67,Squamish,BC
