CHV_NBCC Mean SA[1.0] Hazard (g)

---OpenQuake---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0030,0.0036,0.0054,0.0127,0.0229,0.0362,0.0510,0.0559,0.0743,0.0941
Quebec,0.0041,0.0068,0.0100,0.0226,0.0404,0.0636,0.0906,0.1004,0.1347,0.1744
Malbaie,0.0196,0.0326,0.0477,0.1087,0.2059,0.3533,0.5513,0.6220,0.9056,1.2545
Riviere-du-Loup,0.0108,0.0185,0.0274,0.0630,0.1191,0.2068,0.3275,0.3749,0.5675,0.8182


---2015 NBCC---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0024,0.0039,0.0055,0.0129,0.0233,0.0361,0.0505,0.0556,0.0737,0.0935
Quebec,0.0044,0.0071,0.0106,0.0232,0.0408,0.0641,0.0907,0.1002,0.1345,0.1742
Malbaie,0.0222,0.0355,0.0507,0.1118,0.2079,0.3539,0.5479,0.6223,0.9018,1.2473
Riviere-du-Loup,0.0122,0.0201,0.0292,0.0651,0.1210,0.2075,0.3280,0.3742,0.5646,0.8142


---Ratios---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.8000,1.0834,1.0149,1.0163,1.0167,0.9970,0.9900,0.9944,0.9923,0.9936
Quebec,1.0781,1.0397,1.0573,1.0286,1.0100,1.0077,1.0009,0.9983,0.9988,0.9991
Malbaie,1.1302,1.0884,1.0625,1.0281,1.0096,1.0017,0.9939,1.0005,0.9958,0.9943
Riviere-du-Loup,1.1286,1.0877,1.0652,1.0328,1.0156,1.0036,1.0014,0.9982,0.9949,0.9951


---% Difference---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,-22.22,8.01,1.48,1.62,1.66,-0.30,-1.00,-0.56,-0.77,-0.64
Quebec,7.52,3.90,5.57,2.82,0.99,0.76,0.09,-0.17,-0.12,-0.09
Malbaie,12.22,8.46,6.06,2.78,0.96,0.17,-0.62,0.05,-0.42,-0.57
Riviere-du-Loup,12.08,8.40,6.32,3.23,1.55,0.36,0.14,-0.18,-0.51,-0.50
