SECAN_COLLAPSE Mean SA[0.2] Hazard (g)
 
---OpenQuake---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Regina, SK,0.0010,0.0010,0.0022,0.0076,0.0155,0.0278,0.0446,0.0513,0.0793,0.1193
Winnipeg, MB,0.0010,0.0015,0.0030,0.0083,0.0164,0.0286,0.0454,0.0521,0.0799,0.1196
Thunder Bay, ON,0.0010,0.0016,0.0032,0.0088,0.0176,0.0313,0.0510,0.0588,0.0925,0.1421
Windsor, ON,0.0055,0.0086,0.0118,0.0226,0.0376,0.0582,0.0851,0.0954,0.1383,0.2003
Sudbury, ON,0.0087,0.0123,0.0159,0.0287,0.0461,0.0697,0.0982,0.1084,0.1477,0.1967
Toronto (city hall), ON,0.0102,0.0148,0.0199,0.0399,0.0730,0.1288,0.2128,0.2466,0.3956,0.6065
Ottawa (Kanata), ON,0.0287,0.0390,0.0498,0.0881,0.1433,0.2256,0.3411,0.3870,0.5819,0.8586
Montréal (city hall), QC,0.0341,0.0473,0.0619,0.1178,0.2039,0.3336,0.5112,0.5796,0.8566,1.2251
Québec, QC,0.0418,0.0559,0.0704,0.1198,0.1880,0.2882,0.4273,0.4820,0.7121,1.0295
Rivière-du-Loup, QC,0.0817,0.1163,0.1529,0.2818,0.4597,0.7112,1.0290,1.1449,1.5937,2.1480
Fredericton, NB,0.0225,0.0298,0.0372,0.0615,0.0935,0.1360,0.1887,0.2084,0.2880,0.4001
Halifax, NS,0.0090,0.0123,0.0157,0.0275,0.0435,0.0664,0.0967,0.1082,0.1552,0.2194
Charlottetown, PE,0.0108,0.0143,0.0178,0.0292,0.0439,0.0641,0.0906,0.1007,0.1433,0.2038
St. John's, NL,0.0070,0.0101,0.0133,0.0240,0.0380,0.0564,0.0798,0.0884,0.1242,0.1739

 
---2015 NBCC---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Regina, SK,0.0031,0.0053,0.0083,0.0199,0.0369,0.0613,0.0908,0.1018,0.1424,0.1921
Winnipeg, MB,0.0012,0.0024,0.0037,0.0089,0.0170,0.0292,0.0471,0.0544,0.0861,0.1304
Thunder Bay, ON,0.0014,0.0028,0.0041,0.0098,0.0184,0.0321,0.0523,0.0606,0.0961,0.1466
Windsor, ON,0.0058,0.0093,0.0127,0.0236,0.0382,0.0588,0.0859,0.0963,0.1400,0.2045
Sudbury, ON,0.0095,0.0132,0.0169,0.0297,0.0470,0.0708,0.0999,0.1101,0.1498,0.1993
Toronto (city hall), ON,0.0110,0.0156,0.0206,0.0403,0.0733,0.1293,0.2140,0.2487,0.3996,0.6182
Ottawa (Kanata), ON,0.0289,0.0391,0.0499,0.0885,0.1445,0.2298,0.3518,0.4010,0.6133,0.9172
Montréal (city hall), QC,0.0342,0.0475,0.0622,0.1186,0.2056,0.3396,0.5233,0.5953,0.8867,1.2759
Québec, QC,0.0421,0.0561,0.0707,0.1206,0.1897,0.2922,0.4361,0.4924,0.7319,1.0635
Rivière-du-Loup, QC,0.0820,0.1166,0.1532,0.2827,0.4630,0.7190,1.0441,1.1605,1.6223,2.1889
Fredericton, NB,0.0230,0.0302,0.0374,0.0620,0.0939,0.1370,0.1900,0.2097,0.2913,0.4091
Halifax, NS,0.0114,0.0149,0.0185,0.0301,0.0457,0.0681,0.0983,0.1099,0.1581,0.2245
Charlottetown, PE,0.0122,0.0158,0.0194,0.0309,0.0455,0.0656,0.0922,0.1025,0.1462,0.2092
St. John's, NL,0.0072,0.0107,0.0141,0.0249,0.0387,0.0573,0.0810,0.0898,0.1268,0.1792

 
---Ratios---	GSCFRISK / OQ
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Regina, SK,3.1000,5.3000,3.7505,2.6267,2.3756,2.2072,2.0340,1.9826,1.7947,1.6103
Winnipeg, MB,1.2000,1.6337,1.2134,1.0675,1.0378,1.0209,1.0369,1.0441,1.0777,1.0900
Thunder Bay, ON,1.4000,1.7259,1.2841,1.1142,1.0445,1.0240,1.0249,1.0309,1.0391,1.0316
Windsor, ON,1.0588,1.0785,1.0767,1.0426,1.0173,1.0111,1.0094,1.0099,1.0126,1.0211
Sudbury, ON,1.0914,1.0766,1.0603,1.0332,1.0203,1.0163,1.0174,1.0159,1.0142,1.0133
Toronto (city hall), ON,1.0746,1.0536,1.0342,1.0096,1.0037,1.0040,1.0058,1.0084,1.0100,1.0193
Ottawa (Kanata), ON,1.0069,1.0020,1.0022,1.0049,1.0085,1.0185,1.0313,1.0363,1.0540,1.0682
Montréal (city hall), QC,1.0043,1.0042,1.0055,1.0072,1.0085,1.0180,1.0236,1.0271,1.0351,1.0415
Québec, QC,1.0068,1.0027,1.0036,1.0069,1.0092,1.0140,1.0205,1.0217,1.0278,1.0330
Rivière-du-Loup, QC,1.0037,1.0026,1.0017,1.0033,1.0072,1.0110,1.0147,1.0136,1.0180,1.0191
Fredericton, NB,1.0237,1.0143,1.0050,1.0073,1.0042,1.0070,1.0069,1.0064,1.0116,1.0226
Halifax, NS,1.2671,1.2093,1.1755,1.0929,1.0501,1.0256,1.0166,1.0156,1.0184,1.0234
