SWCAN_COLLAPSE Mean SA[0.2] Hazard (g)

---OpenQuake---,

Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,0.1711,0.2119,0.2494,0.3637,0.4898,0.6333,0.7886,0.8366,1.0165,1.2208
Queen Charlotte City, BC,0.3255,0.4223,0.5167,0.8001,1.1022,1.4182,1.7341,1.8367,2.2065,2.5000
Sandspit, BC,0.2647,0.3392,0.4138,0.6335,0.8714,1.1346,1.3912,1.4812,1.7603,2.0768
Prince Rupert, BC,0.0474,0.0584,0.0692,0.1034,0.1428,0.1876,0.2363,0.2530,0.3154,0.3903
Kitimat Townsite, BC,0.0229,0.0290,0.0352,0.0559,0.0813,0.1128,0.1505,0.1646,0.2226,0.3052
Port Hardy, BC,0.1384,0.1736,0.2082,0.3062,0.4144,0.5367,0.6628,0.7062,0.8573,1.0249
Tofino, BC,0.0843,0.1084,0.1343,0.2447,0.4950,0.9337,1.3805,1.5323,1.9896,2.4873
Campbell River, BC,0.0670,0.0868,0.1075,0.1805,0.2801,0.4066,0.5516,0.6000,0.7884,1.0127
Port Alberni, BC,0.0937,0.1240,0.1565,0.2770,0.4482,0.6674,0.9040,0.9836,1.2573,1.5629
Nanaimo, BC,0.1338,0.1766,0.2203,0.3613,0.5304,0.7294,0.9431,1.0177,1.2749,1.5696
Sidney, BC,0.1776,0.2313,0.2861,0.4531,0.6492,0.8803,1.1340,1.2148,1.5237,1.8525
Victoria, BC,0.1851,0.2412,0.2983,0.4773,0.6891,0.9374,1.2071,1.2959,1.6213,1.9794
Squamish, BC,0.0754,0.0987,0.1218,0.1984,0.2923,0.4111,0.5514,0.6003,0.7924,1.0297
Vancouver (city hall), BC,0.1167,0.1522,0.1871,0.2987,0.4323,0.5973,0.7859,0.8477,1.0882,1.3571
Abbotsford, BC,0.1037,0.1328,0.1615,0.2516,0.3597,0.4937,0.6490,0.7039,0.9104,1.1611
Chilliwack, BC,0.0775,0.0998,0.1211,0.1895,0.2715,0.3737,0.4939,0.5375,0.7045,0.9166
