SWCAN_COLLAPSE Mean SA[1.0] Hazard (g)
 
---OpenQuake---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,0.0956,0.1207,0.1459,0.2184,0.3008,0.3970,0.4949,0.5297,0.6461,0.7802
Queen Charlotte City, BC,0.1486,0.1964,0.2418,0.3829,0.5384,0.7116,0.8932,0.9535,1.1674,1.3959
Sandspit, BC,0.1280,0.1676,0.2073,0.3238,0.4550,0.6052,0.7654,0.8153,0.9953,1.1925
Prince Rupert, BC,0.0443,0.0546,0.0639,0.0922,0.1242,0.1616,0.2029,0.2156,0.2634,0.3164
Kitimat Townsite, BC,0.0289,0.0354,0.0415,0.0598,0.0807,0.1056,0.1322,0.1416,0.1740,0.2118
Port Hardy, BC,0.0610,0.0791,0.0977,0.1586,0.2335,0.3251,0.4267,0.4598,0.5836,0.7183
Tofino, BC,0.0425,0.0548,0.0680,0.1257,0.2661,0.5365,0.8293,0.9211,1.2531,1.6138
Campbell River, BC,0.0368,0.0476,0.0590,0.1015,0.1680,0.2647,0.3783,0.4168,0.5585,0.7106
Port Alberni, BC,0.0439,0.0577,0.0724,0.1299,0.2281,0.3826,0.5646,0.6217,0.8387,1.0798
Nanaimo, BC,0.0541,0.0725,0.0919,0.1614,0.2546,0.3739,0.5063,0.5542,0.7130,0.8909
Sidney, BC,0.0685,0.0915,0.1153,0.1972,0.3011,0.4310,0.5778,0.6250,0.8050,1.0001
Victoria, BC,0.0706,0.0941,0.1186,0.2044,0.3168,0.4616,0.6255,0.6810,0.8805,1.1077
Squamish, BC,0.0351,0.0461,0.0575,0.0962,0.1477,0.2145,0.2931,0.3194,0.4204,0.5372
Vancouver (city hall), BC,0.0483,0.0642,0.0806,0.1362,0.2072,0.2955,0.3957,0.4277,0.5519,0.6863
