SWCAN_NBCC_LOCS Mean SA[0.2] Hazard (g)
 
---OpenQuake---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,0.1700,0.2106,0.2479,0.3616,0.4870,0.6298,0.7843,0.8318,1.0100,1.2130
Queen Charlotte City, BC,0.3204,0.4162,0.5093,0.7931,1.0953,1.4094,1.7250,1.8268,2.1953,2.5000
Sandspit, BC,0.2610,0.3347,0.4089,0.6276,0.8653,1.1281,1.3825,1.4717,1.7499,2.0631
Prince Rupert, BC,0.0472,0.0582,0.0689,0.1028,0.1419,0.1865,0.2350,0.2515,0.3136,0.3881
Kitimat Townsite, BC,0.0226,0.0286,0.0348,0.0553,0.0805,0.1118,0.1494,0.1634,0.2213,0.3038
Port Hardy, BC,0.1322,0.1683,0.2041,0.3029,0.4116,0.5331,0.6587,0.7017,0.8522,1.0182
Tofino, BC,0.0815,0.1058,0.1319,0.2425,0.4922,0.9296,1.3733,1.5255,1.9777,2.4722
Campbell River, BC,0.0647,0.0848,0.1058,0.1792,0.2786,0.4047,0.5485,0.5969,0.7845,1.0084
Port Alberni, BC,0.0895,0.1201,0.1528,0.2733,0.4442,0.6619,0.8967,0.9752,1.2473,1.5514
Nanaimo, BC,0.1280,0.1712,0.2154,0.3559,0.5237,0.7206,0.9321,1.0054,1.2603,1.5528
Sidney, BC,0.1702,0.2246,0.2795,0.4466,0.6415,0.8709,1.1228,1.2027,1.5086,1.8364
Victoria, BC,0.1773,0.2341,0.2918,0.4707,0.6814,0.9282,1.1966,1.2845,1.6090,1.9651
Squamish, BC,0.0717,0.0952,0.1187,0.1953,0.2891,0.4072,0.5460,0.5949,0.7858,1.0218
Vancouver (city hall), BC,0.1118,0.1477,0.1824,0.2942,0.4268,0.5903,0.7769,0.8379,1.0748,1.3416
Abbotsford, BC,0.0992,0.1287,0.1579,0.2480,0.3557,0.4888,0.6430,0.6974,0.9025,1.1519
Chilliwack, BC,0.0741,0.0964,0.1181,0.1867,0.2687,0.3706,0.4904,0.5337,0.7000,0.9113
Kamloops, BC,0.0114,0.0158,0.0204,0.0367,0.0590,0.0904,0.1310,0.1464,0.2075,0.2887
Penticton, BC,0.0149,0.0203,0.0258,0.0442,0.0688,0.1022,0.1442,0.1595,0.2215,0.3028
Kelowna, BC,0.0120,0.0164,0.0210,0.0370,0.0586,0.0889,0.1284,0.1435,0.2041,0.2852
Calgary, AB,0.0075,0.0122,0.0175,0.0381,0.0676,0.1095,0.1621,0.1816,0.2588,0.3583
Edmonton, AB,0.0021,0.0043,0.0068,0.0163,0.0306,0.0526,0.0836,0.0959,0.1496,0.2287

 
---2015 NBCC---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,0.1613,0.1979,0.2336,0.3385,0.4577,0.5954,0.7418,0.7905,0.9669,1.1697
Queen Charlotte City, BC,0.2789,0.3529,0.4287,0.6625,0.9248,1.2154,1.5156,1.6119,1.9436,2.3008
Sandspit, BC,0.2336,0.2939,0.3528,0.5397,0.7569,0.9932,1.2313,1.3137,1.5860,1.8805
Prince Rupert, BC,0.0467,0.0573,0.0679,0.1009,0.1384,0.1818,0.2291,0.2457,0.3072,0.3859
Kitimat Townsite, BC,0.0230,0.0289,0.0349,0.0546,0.0789,0.1092,0.1469,0.1613,0.2228,0.3143
Port Hardy, BC,0.1433,0.1785,0.2103,0.3074,0.4115,0.5285,0.6573,0.6991,0.8476,1.0163
Tofino, BC,0.0855,0.1082,0.1326,0.2349,0.4633,0.8857,1.3265,1.4605,1.9156,2.3999
