CHV_NBCC Mean SA[0.2] Hazard (g)

---OpenQuake---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0112,0.0163,0.0216,0.0393,0.0604,0.0856,0.1129,0.1217,0.1545,0.1900
Quebec,0.0272,0.0389,0.0508,0.0896,0.1377,0.1964,0.2607,0.2841,0.3628,0.4529
Malbaie,0.1537,0.2274,0.3040,0.5669,0.9149,1.3868,1.9532,2.1607,2.9070,3.5000
Riviere-du-Loup,0.0768,0.1165,0.1584,0.3053,0.5092,0.7990,1.1680,1.3029,1.8340,2.4992


---2015 NBCC---

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,0.0120,0.0170,0.0222,0.0391,0.0600,0.0844,0.1109,0.1197,0.1516,0.1867
Quebec,0.0288,0.0401,0.0514,0.0891,0.1359,0.1920,0.2551,0.2762,0.3527,0.4417
Malbaie,0.1688,0.2432,0.3187,0.5778,0.9246,1.3954,1.9585,2.1583,2.9112,3.7628
Riviere-du-Loup,0.0869,0.1291,0.1736,0.3300,0.5497,0.8616,1.2589,1.4069,1.9674,2.6541


---Ratios---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,1.0704,1.0407,1.0263,0.9951,0.9939,0.9865,0.9827,0.9832,0.9815,0.9825
Quebec,1.0571,1.0300,1.0115,0.9945,0.9866,0.9776,0.9783,0.9723,0.9722,0.9753
Malbaie,1.0983,1.0696,1.0484,1.0193,1.0106,1.0062,1.0027,0.9989,1.0014,1.0751
Riviere-du-Loup,1.1310,1.1082,1.0959,1.0809,1.0795,1.0783,1.0778,1.0798,1.0727,1.0620


---% Difference---	GSCFRISK / OQ

Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Trois-Rivieres,6.80,3.99,2.59,-0.50,-0.62,-1.36,-1.75,-1.69,-1.87,-1.76
Quebec,5.55,2.96,1.15,-0.55,-1.35,-2.27,-2.19,-2.81,-2.81,-2.50
Malbaie,9.37,6.72,4.73,1.91,1.05,0.62,0.27,-0.11,0.14,7.24
Riviere-du-Loup,12.29,10.26,9.15,7.78,7.64,7.54,7.49,7.67,7.02,6.01
