#,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:16:06', checksum=4918731, kind='mean', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,8.342046E-02,8.323038E-02,8.288998E-02,8.221474E-02,8.100346E-02,7.895719E-02,7.571100E-02,7.084208E-02,6.381898E-02,5.449813E-02,4.337090E-02,3.115767E-02,2.000297E-02,1.118484E-02,5.332017E-03,2.105356E-03,6.790639E-04,1.743782E-04,3.608763E-05,5.673287E-06,2.146710E-06
-125.88000,49.12000,0.00000,8.439791E-02,8.438573E-02,8.435875E-02,8.429681E-02,8.417113E-02,8.393489E-02,8.352473E-02,8.286048E-02,8.182118E-02,8.026119E-02,7.794409E-02,7.425327E-02,6.848617E-02,5.972611E-02,4.781771E-02,3.394881E-02,2.077702E-02,1.063813E-02,4.525300E-03,1.533148E-03,8.466291E-04
-125.24000,50.02000,0.00000,8.438841E-02,8.434225E-02,8.426075E-02,8.409875E-02,8.380160E-02,8.327156E-02,8.233424E-02,8.065162E-02,7.755757E-02,7.216072E-02,6.371898E-02,5.176465E-02,3.797120E-02,2.448495E-02,1.356987E-02,6.285988E-03,2.396502E-03,7.331956E-04,1.815221E-04,3.446055E-05,1.431111E-05
-124.80000,49.23300,0.00000,8.439848E-02,8.438958E-02,8.436981E-02,8.432493E-02,8.423553E-02,8.407032E-02,8.378305E-02,8.329343E-02,8.240993E-02,8.072240E-02,7.746597E-02,7.130499E-02,6.149323E-02,4.820278E-02,3.336620E-02,1.977678E-02,9.835557E-03,4.001189E-03,1.333621E-03,3.476869E-04,1.687732E-04
-123.93000,49.17000,0.00000,8.439889E-02,8.439218E-02,8.437680E-02,8.434117E-02,8.426882E-02,8.412910E-02,8.385696E-02,8.328663E-02,8.198725E-02,7.912811E-02,7.357618E-02,6.402428E-02,5.091721E-02,3.595329E-02,2.198626E-02,1.132027E-02,4.826280E-03,1.662093E-03,4.651123E-04,1.005510E-04,4.450968E-05
