#,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-11T11:03:22', checksum=2994019704, kind='mean', investigation_time=50.0, imt='SA(2.0)'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,8.346654E-02,8.345778E-02,8.337777E-02,8.315461E-02,8.255885E-02,8.123081E-02,7.862227E-02,7.405090E-02,6.678955E-02,5.618528E-02,4.274754E-02,2.851431E-02,1.581812E-02,7.245424E-03,2.664939E-03,7.759359E-04,1.747934E-04,3.051570E-05,4.040760E-06,4.081061E-07,2.074189E-08,6.425509E-10
-125.88000,49.12000,0.00000,8.439988E-02,8.439955E-02,8.439504E-02,8.437862E-02,8.432453E-02,8.418071E-02,8.385553E-02,8.322228E-02,8.212646E-02,8.033769E-02,7.752453E-02,7.306983E-02,6.565788E-02,5.458289E-02,4.025182E-02,2.528793E-02,1.300546E-02,5.357435E-03,1.725639E-03,4.397283E-04,8.448354E-05,3.512561E-05
-125.24000,50.02000,0.00000,8.439987E-02,8.439752E-02,8.437621E-02,8.431768E-02,8.416306E-02,8.381481E-02,8.309037E-02,8.163859E-02,7.876403E-02,7.319029E-02,6.358466E-02,4.981259E-02,3.335088E-02,1.864821E-02,8.430651E-03,3.024631E-03,8.414420E-04,1.814569E-04,2.980190E-05,3.827882E-06,3.450787E-07,8.868594E-08
-124.80000,49.23300,0.00000,8.439988E-02,8.439965E-02,8.439640E-02,8.438440E-02,8.434487E-02,8.424051E-02,8.400629E-02,8.354020E-02,8.264567E-02,8.082456E-02,7.705671E-02,6.986602E-02,5.770087E-02,4.184044E-02,2.554821E-02,1.272755E-02,5.017883E-03,1.551003E-03,3.689422E-04,6.900808E-05,9.600093E-06,3.406608E-06
-123.93000,49.17000,0.00000,8.439988E-02,8.439972E-02,8.439733E-02,8.438820E-02,8.435703E-02,8.427130E-02,8.406349E-02,8.357973E-02,8.241453E-02,7.955919E-02,7.335505E-02,6.237843E-02,4.644050E-02,2.932653E-02,1.514577E-02,6.249759E-03,2.009858E-03,5.022619E-04,9.587646E-05,1.435279E-05,1.570996E-06,4.857703E-07
-123.40000,48.65000,0.00000,8.439988E-02,8.439985E-02,8.439926E-02,8.439650E-02,8.438522E-02,8.434855E-02,8.424526E-02,8.396968E-02,8.321645E-02,8.114582E-02,7.617389E-02,6.658267E-02,5.151203E-02,3.407494E-02,1.854982E-02,8.100875E-03,2.765101E-03,7.345429E-04,1.492803E-04,2.380592E-05,2.795072E-06,9.044930E-07
-123.37000,48.43000,0.00000,8.439988E-02,8.439986E-02,8.439958E-02,8.439810E-02,8.439148E-02,8.436826E-02,8.429993E-02,8.411743E-02,8.362415E-02,8.223032E-02,7.863969E-02,7.105000E-02,5.785759E-02,4.090150E-02,2.409833E-02,1.149123E-02,4.310461E-03,1.262937E-03,2.839761E-04,5.015528E-05,6.568133E-06,2.259191E-06
-123.15000,49.70000,0.00000,8.439987E-02,8.439896E-02,8.438899E-02,8.435737E-02,8.425777E-02,8.396675E-02,8.312185E-02,8.083174E-02,7.552248E-02,6.536542E-02,5.025363E-02,3.305266E-02,1.759117E-02,7.548390E-03,2.549624E-03,6.712849E-04,1.350161E-04,2.085024E-05,2.413532E-06,1.996323E-07,0.000000E+00,0.000000E+00
-123.12000,49.25000,0.00000,8.439988E-02,8.439963E-02,8.439620E-02,8.438349E-02,8.433965E-02,8.420658E-02,8.381069E-02,8.266099E-02,7.964591E-02,7.290324E-02,6.100024E-02,4.482270E-02,2.734507E-02,1.364017E-02,5.410697E-03,1.683820E-03,4.026376E-04,7.420313E-05,1.034919E-05,1.113256E-06,6.848754E-08,6.274002E-09
-122.32900,49.05200,0.00000,8.439988E-02,8.439966E-02,8.439642E-02,8.438317E-02,8.433013E-02,8.413579E-02,8.346570E-02,8.144811E-02,7.648583E-02,6.664898E-02,5.165697E-02,3.427909E-02,1.841954E-02,7.979718E-03,2.721033E-03,7.231905E-04,1.468367E-04,2.289235E-05,2.677309E-06,2.255984E-07,5.432491E-10,0.000000E+00
-121.95000,49.16700,0.00000,8.439988E-02,8.439945E-02,8.439334E-02,8.436843E-02,8.426506E-02,8.387794E-02,8.258960E-02,7.905784E-02,7.142332E-02,5.835744E-02,4.132328E-02,2.451935E-02,1.154147E-02,4.337715E-03,1.273901E-03,2.902053E-04,5.026051E-05,6.653760E-06,6.436021E-07,3.058071E-08,0.000000E+00,0.000000E+00
-120.32000,50.67000,0.00000,8.355143E-02,8.352035E-02,8.314121E-02,8.190274E-02,7.833943E-02,7.052860E-02,5.724088E-02,4.010934E-02,2.343659E-02,1.098642E-02,4.071652E-03,1.191043E-03,2.590772E-04,4.416399E-05,5.748537E-06,5.522390E-07,2.188459E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-119.58000,49.50000,0.00000,8.414542E-02,8.413071E-02,8.393282E-02,8.321574E-02,8.091579E-02,7.525530E-02,6.439309E-02,4.853807E-02,3.101720E-02,1.611782E-02,6.676927E-03,2.192739E-03,5.391946E-04,1.040204E-04,1.538446E-05,1.723208E-06,1.243329E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-119.48000,49.88000,0.00000,8.380605E-02,8.377815E-02,8.342832E-02,8.226408E-02,7.886089E-02,7.128861E-02,5.822011E-02,4.113251E-02,2.426978E-02,1.150211E-02,4.312605E-03,1.276702E-03,2.812322E-04,4.855302E-05,6.403859E-06,6.260058E-07,2.760540E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-114.08000,51.05000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
