#,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:16:06', checksum=4918731, kind='mean', investigation_time=50.0"
lon,lat,0.1~SA(0.2),0.1~SA(1.0),0.1~SA(2.0),0.02~SA(0.2),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82000,53.25000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32000,54.32000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.65000,54.07000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.061490E-01,2.030174E-01,1.493721E-01
-125.88000,49.12000,0.000000E+00,0.000000E+00,0.000000E+00,1.265004E+00,7.930821E-01,4.838373E-01
-125.24000,50.02000,0.000000E+00,0.000000E+00,0.000000E+00,3.678917E-01,3.185569E-01,2.210737E-01
-124.80000,49.23300,0.000000E+00,0.000000E+00,0.000000E+00,7.600546E-01,5.519956E-01,3.532984E-01
-123.93000,49.17000,0.000000E+00,0.000000E+00,0.000000E+00,5.179488E-01,4.165393E-01,2.800966E-01
-123.40000,48.65000,0.000000E+00,0.000000E+00,0.000000E+00,5.905645E-01,4.575695E-01,3.038358E-01
-123.37000,48.43000,0.000000E+00,0.000000E+00,0.000000E+00,7.122728E-01,5.297174E-01,3.422374E-01
-123.15000,49.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.168578E-01,2.173110E-01,1.595880E-01
-123.12000,49.25000,0.000000E+00,0.000000E+00,0.000000E+00,2.993179E-01,2.780902E-01,1.970197E-01
-122.32900,49.05200,0.000000E+00,0.000000E+00,0.000000E+00,2.229588E-01,2.222370E-01,1.627444E-01
-121.95000,49.16700,0.000000E+00,0.000000E+00,0.000000E+00,1.670977E-01,1.793308E-01,1.368276E-01
-120.32000,50.67000,0.000000E+00,0.000000E+00,0.000000E+00,3.568596E-02,5.539622E-02,5.223424E-02
-119.58000,49.50000,0.000000E+00,0.000000E+00,0.000000E+00,4.629326E-02,6.734490E-02,6.066468E-02
-119.48000,49.88000,0.000000E+00,0.000000E+00,0.000000E+00,3.698334E-02,5.661114E-02,5.321642E-02
-114.08000,51.05000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
