#,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-11T10:57:30', checksum=232125247, kind='mean', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,8.439988E-02,8.439988E-02,8.439984E-02,8.439922E-02,8.439332E-02,8.435078E-02,8.411954E-02,8.318052E-02,8.023842E-02,7.330641E-02,6.102880E-02,4.384569E-02,2.640263E-02,1.287788E-02,4.984933E-03,1.496388E-03,3.480326E-04,6.167559E-05,8.559186E-06,8.567426E-07,2.463549E-07
-125.88000,49.12000,0.00000,8.439988E-02,8.439988E-02,8.439988E-02,8.439988E-02,8.439988E-02,8.439988E-02,8.439982E-02,8.439890E-02,8.439034E-02,8.433133E-02,8.402985E-02,8.280561E-02,7.921405E-02,7.119961E-02,5.765025E-02,4.012448E-02,2.313478E-02,1.068161E-02,3.937066E-03,1.110833E-03,5.558634E-04
-125.24000,50.02000,0.00000,8.439988E-02,8.439988E-02,8.439988E-02,8.439982E-02,8.439893E-02,8.439079E-02,8.433459E-02,8.404545E-02,8.289807E-02,7.948022E-02,7.185239E-02,5.836903E-02,4.102992E-02,2.396817E-02,1.130666E-02,4.188885E-03,1.210965E-03,2.684739E-04,4.674190E-05,6.029257E-06,2.057370E-06
-124.80000,49.23300,0.00000,8.439988E-02,8.439988E-02,8.439988E-02,8.439988E-02,8.439987E-02,8.439966E-02,8.439730E-02,8.437836E-02,8.426127E-02,8.371909E-02,8.185083E-02,7.674275E-02,6.659490E-02,5.116767E-02,3.338502E-02,1.777260E-02,7.552756E-03,2.503572E-03,6.552122E-04,1.292301E-04,5.439845E-05
-123.93000,49.17000,0.00000,8.439988E-02,8.439988E-02,8.439988E-02,8.439987E-02,8.439969E-02,8.439757E-02,8.438013E-02,8.427320E-02,8.376789E-02,8.197702E-02,7.723474E-02,6.728008E-02,5.207064E-02,3.427345E-02,1.853153E-02,7.968040E-03,2.692454E-03,7.016876E-04,1.438419E-04,2.201200E-05,8.191749E-06
