#,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:10:21', checksum=1722803090, kind='mean', investigation_time=50.0, imt='SA(2.0)'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,8.439988E-02,8.439986E-02,8.439910E-02,8.439351E-02,8.435987E-02,8.420466E-02,8.363597E-02,8.199678E-02,7.824153E-02,7.112760E-02,6.016063E-02,4.630888E-02,3.127984E-02,1.837937E-02,9.150639E-03,3.780500E-03,1.259195E-03,3.348013E-04,6.940665E-05,1.143370E-05,1.395817E-06,4.608609E-07
-125.88000,49.12000,0.00000,8.439988E-02,8.439988E-02,8.439988E-02,8.439988E-02,8.439987E-02,8.439979E-02,8.439887E-02,8.439131E-02,8.434504E-02,8.412160E-02,8.329042E-02,8.090659E-02,7.528029E-02,6.521967E-02,5.083853E-02,3.454217E-02,1.980774E-02,9.399077E-03,3.603170E-03,1.121935E-03,2.710702E-04,1.266847E-04
-125.24000,50.02000,0.00000,8.439988E-02,8.439988E-02,8.439978E-02,8.439885E-02,8.439168E-02,8.434979E-02,8.415671E-02,8.346441E-02,8.152127E-02,7.707853E-02,6.893720E-02,5.690065E-02,4.178249E-02,2.690082E-02,1.479321E-02,6.806489E-03,2.549148E-03,7.686472E-04,1.823112E-04,3.456887E-05,4.932240E-06,1.773989E-06
-124.80000,49.23300,0.00000,8.439988E-02,8.439988E-02,8.439988E-02,8.439986E-02,8.439963E-02,8.439747E-02,8.438203E-02,8.429749E-02,8.394241E-02,8.275239E-02,7.962970E-02,7.318517E-02,6.209010E-02,4.738599E-02,3.155656E-02,1.788878E-02,8.395800E-03,3.217577E-03,9.844007E-04,2.430844E-04,4.599879E-05,1.907750E-05
-123.93000,49.17000,0.00000,8.439988E-02,8.439988E-02,8.439986E-02,8.439965E-02,8.439762E-02,8.438351E-02,8.430632E-02,8.397995E-02,8.290934E-02,8.007503E-02,7.412065E-02,6.413423E-02,5.001404E-02,3.447826E-02,2.044456E-02,1.020538E-02,4.174010E-03,1.382414E-03,3.623545E-04,7.624109E-05,1.216514E-05,4.635938E-06
-123.40000,48.65000,0.00000,8.439988E-02,8.439988E-02,8.439987E-02,8.439976E-02,8.439864E-02,8.439019E-02,8.434030E-02,8.411327E-02,8.331449E-02,8.105452E-02,7.600125E-02,6.702086E-02,5.360918E-02,3.807246E-02,2.334088E-02,1.208058E-02,5.137761E-03,1.773637E-03,4.858219E-04,1.069979E-04,1.792768E-05,7.000322E-06
-123.37000,48.43000,0.00000,8.439988E-02,8.439988E-02,8.439987E-02,8.439984E-02,8.439943E-02,8.439589E-02,8.437220E-02,8.425073E-02,8.377160E-02,8.225981E-02,7.851327E-02,7.118479E-02,5.919689E-02,4.406196E-02,2.849950E-02,1.564193E-02,7.088003E-03,2.617080E-03,7.697589E-04,1.825022E-04,3.307540E-05,1.342852E-05
-123.15000,49.70000,0.00000,8.439988E-02,8.439977E-02,8.439662E-02,8.437780E-02,8.428339E-02,8.391807E-02,8.278733E-02,8.000372E-02,7.448223E-02,6.530545E-02,5.273658E-02,3.846505E-02,2.442941E-02,1.343597E-02,6.223965E-03,2.375698E-03,7.252306E-04,1.755117E-04,3.289227E-05,4.872856E-06,5.264183E-07,1.636293E-07
-123.12000,49.25000,0.00000,8.439988E-02,8.439986E-02,8.439931E-02,8.439503E-02,8.436826E-02,8.424012E-02,8.375365E-02,8.230355E-02,7.887707E-02,7.219887E-02,6.163353E-02,4.797281E-02,3.282652E-02,1.955999E-02,9.887444E-03,4.152939E-03,1.408485E-03,3.818574E-04,8.083128E-05,1.360946E-05,1.703249E-06,5.700771E-07
-122.32900,49.05200,0.00000,8.439988E-02,8.439978E-02,8.439692E-02,8.437953E-02,8.429126E-02,8.394559E-02,8.286337E-02,8.017088E-02,7.477869E-02,6.573892E-02,5.326086E-02,3.899273E-02,2.486928E-02,1.373995E-02,6.396514E-03,2.455028E-03,7.540209E-04,1.836825E-04,3.466695E-05,5.174206E-06,5.635876E-07,1.761556E-07
-121.95000,49.16700,0.00000,8.439988E-02,8.439932E-02,8.438724E-02,8.432862E-02,8.408497E-02,8.329745E-02,8.123998E-02,7.690416E-02,6.941882E-02,5.842331E-02,4.493094E-02,3.104402E-02,1.856083E-02,9.566956E-03,4.123546E-03,1.452361E-03,4.054974E-04,8.910619E-05,1.505977E-05,1.997663E-06,1.906612E-07,5.260389E-08
-120.32000,50.67000,0.00000,8.439898E-02,8.411637E-02,8.268815E-02,8.007356E-02,7.519927E-02,6.753329E-02,5.698280E-02,4.445574E-02,3.162716E-02,2.005658E-02,1.112238E-02,5.272548E-03,2.006092E-03,6.191633E-04,1.504479E-04,2.845244E-05,4.078818E-06,4.432635E-07,3.012495E-08,0.000000E+00,0.000000E+00,0.000000E+00
-119.58000,49.50000,0.00000,8.439956E-02,8.425248E-02,8.335799E-02,8.151967E-02,7.778648E-02,7.146864E-02,6.217795E-02,5.040669E-02,3.753320E-02,2.513297E-02,1.488728E-02,7.642335E-03,3.201540E-03,1.098728E-03,2.991792E-04,6.375231E-05,1.036305E-05,1.286833E-06,1.148048E-07,3.153569E-09,0.000000E+00,0.000000E+00
-119.48000,49.88000,0.00000,8.439907E-02,8.413434E-02,8.277076E-02,8.024500E-02,7.549575E-02,6.797098E-02,5.754425E-02,4.508027E-02,3.222875E-02,2.055820E-02,1.148217E-02,5.490024E-03,2.110391E-03,6.586949E-04,1.619781E-04,3.101808E-05,4.505702E-06,4.967758E-07,3.508782E-08,0.000000E+00,0.000000E+00,0.000000E+00
-114.08000,51.05000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
