#,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-11T10:57:30', checksum=232125247, kind='mean', investigation_time=50.0"
lon,lat,0.1~SA(0.2),0.1~SA(1.0),0.1~SA(2.0),0.02~SA(0.2),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82000,53.25000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32000,54.32000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.65000,54.07000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.430736E-01,2.311562E-01,1.646123E-01
-125.88000,49.12000,0.000000E+00,0.000000E+00,0.000000E+00,1.332992E+00,8.290323E-01,5.045363E-01
-125.24000,50.02000,0.000000E+00,0.000000E+00,0.000000E+00,3.545897E-01,3.078663E-01,2.118472E-01
-124.80000,49.23300,0.000000E+00,0.000000E+00,0.000000E+00,7.151529E-01,5.220087E-01,3.341442E-01
-123.93000,49.17000,0.000000E+00,0.000000E+00,0.000000E+00,4.667638E-01,3.808459E-01,2.526523E-01
-123.40000,48.65000,0.000000E+00,0.000000E+00,0.000000E+00,5.310434E-01,4.167088E-01,2.759772E-01
-123.37000,48.43000,0.000000E+00,0.000000E+00,0.000000E+00,6.410629E-01,4.794424E-01,3.119875E-01
-123.15000,49.70000,0.000000E+00,0.000000E+00,0.000000E+00,1.842806E-01,1.873376E-01,1.378354E-01
-123.12000,49.25000,0.000000E+00,0.000000E+00,0.000000E+00,2.584367E-01,2.414654E-01,1.708940E-01
-122.32900,49.05200,0.000000E+00,0.000000E+00,0.000000E+00,1.881378E-01,1.903942E-01,1.398314E-01
-121.95000,49.16700,0.000000E+00,0.000000E+00,0.000000E+00,1.381022E-01,1.507153E-01,1.137229E-01
-120.32000,50.67000,0.000000E+00,0.000000E+00,0.000000E+00,2.745247E-02,4.318232E-02,4.062568E-02
-119.58000,49.50000,0.000000E+00,0.000000E+00,0.000000E+00,3.549941E-02,5.307886E-02,4.739481E-02
-119.48000,49.88000,0.000000E+00,0.000000E+00,0.000000E+00,2.814022E-02,4.406279E-02,4.123918E-02
-114.08000,51.05000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
