#,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:21:16', checksum=1302072005, kind='mean', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,7.977832E-02,7.960923E-02,7.910800E-02,7.841470E-02,7.732225E-02,7.578879E-02,7.378497E-02,7.129260E-02,6.814907E-02,6.380033E-02,5.747956E-02,4.863729E-02,3.715227E-02,2.501446E-02,1.431831E-02,6.727726E-03,2.473731E-03,6.882371E-04,1.387630E-04,2.042207E-05,2.029573E-06,5.894066E-07
-125.88000,49.12000,0.00000,8.413449E-02,8.408621E-02,8.393504E-02,8.371405E-02,8.334377E-02,8.278675E-02,8.200806E-02,8.099573E-02,7.975361E-02,7.826971E-02,7.657614E-02,7.472574E-02,7.269301E-02,7.049511E-02,6.763192E-02,6.290051E-02,5.459169E-02,4.214462E-02,2.746072E-02,1.459260E-02,5.975380E-03,3.545265E-03
-125.24000,50.02000,0.00000,8.319164E-02,8.310545E-02,8.285099E-02,8.249655E-02,8.193134E-02,8.112176E-02,8.003791E-02,7.867533E-02,7.700101E-02,7.478705E-02,7.147432E-02,6.605425E-02,5.710642E-02,4.478148E-02,3.065373E-02,1.767588E-02,8.229438E-03,2.991778E-03,8.124175E-04,1.641801E-04,2.300618E-05,7.973517E-06
-124.80000,49.23300,0.00000,8.413453E-02,8.409086E-02,8.395653E-02,8.376381E-02,8.344609E-02,8.297504E-02,8.232643E-02,8.149750E-02,8.049627E-02,7.930713E-02,7.790787E-02,7.615172E-02,7.342339E-02,6.864408E-02,6.026350E-02,4.768262E-02,3.244857E-02,1.825655E-02,8.137771E-03,2.824932E-03,7.177396E-04,3.347350E-04
-123.93000,49.17000,0.00000,8.416770E-02,8.412893E-02,8.400913E-02,8.383753E-02,8.355549E-02,8.313779E-02,8.256218E-02,8.182435E-02,8.092015E-02,7.977246E-02,7.811404E-02,7.520325E-02,6.947912E-02,5.973317E-02,4.593157E-02,3.038352E-02,1.657327E-02,7.211145E-03,2.398320E-03,6.038768E-04,1.076036E-04,4.202794E-05
-123.40000,48.65000,0.00000,8.439972E-02,8.437713E-02,8.430348E-02,8.419392E-02,8.400916E-02,8.372954E-02,8.333369E-02,8.281065E-02,8.215397E-02,8.131713E-02,8.013925E-02,7.808179E-02,7.377177E-02,6.566895E-02,5.294513E-02,3.712027E-02,2.166815E-02,1.017647E-02,3.687200E-03,1.018683E-03,2.009187E-04,8.254142E-05
-123.37000,48.43000,0.00000,8.439982E-02,8.438674E-02,8.433716E-02,8.425803E-02,8.411788E-02,8.389737E-02,8.357593E-02,8.314056E-02,8.258450E-02,8.188406E-02,8.098035E-02,7.961251E-02,7.688197E-02,7.131078E-02,6.127110E-02,4.675664E-02,3.027094E-02,1.601989E-02,6.646437E-03,2.129684E-03,4.947314E-04,2.205656E-04
-123.15000,49.70000,0.00000,8.371567E-02,8.364700E-02,8.345042E-02,8.317897E-02,8.274424E-02,8.210676E-02,8.116498E-02,7.962617E-02,7.679679E-02,7.148178E-02,6.264051E-02,5.030633E-02,3.551253E-02,2.162598E-02,1.094189E-02,4.417210E-03,1.348865E-03,3.024596E-04,4.794697E-05,5.464790E-06,4.098842E-07,1.010865E-07
-123.12000,49.25000,0.00000,8.406830E-02,8.402508E-02,8.389138E-02,8.370083E-02,8.338895E-02,8.292913E-02,8.228934E-02,8.140301E-02,8.002158E-02,7.742405E-02,7.238367E-02,6.370319E-02,5.071266E-02,3.555361E-02,2.117941E-02,1.035793E-02,3.968181E-03,1.151134E-03,2.422430E-04,3.722862E-05,3.875308E-06,1.153690E-06
-122.32900,49.05200,0.00000,8.413451E-02,8.409032E-02,8.395691E-02,8.376783E-02,8.345759E-02,8.298735E-02,8.226006E-02,8.098750E-02,7.846729E-02,7.346381E-02,6.483275E-02,5.248547E-02,3.738622E-02,2.298534E-02,1.175274E-02,4.801570E-03,1.486107E-03,3.381114E-04,5.442902E-05,6.303248E-06,4.811953E-07,1.203654E-07
-121.95000,49.16700,0.00000,8.400193E-02,8.394853E-02,8.378851E-02,8.356128E-02,8.317655E-02,8.252589E-02,8.128458E-02,7.873095E-02,7.379807E-02,6.539246E-02,5.340001E-02,3.921072E-02,2.481533E-02,1.333475E-02,5.804381E-03,1.951342E-03,4.803444E-04,8.478901E-05,1.038290E-05,9.018460E-07,4.596295E-08,5.704832E-09
-120.32000,50.67000,0.00000,8.014432E-02,7.957967E-02,7.690604E-02,7.250208E-02,6.517027E-02,5.483451E-02,4.214095E-02,2.905002E-02,1.766018E-02,9.022171E-03,3.666320E-03,1.132140E-03,2.428077E-04,3.743549E-05,4.010710E-06,2.922401E-07,8.675737E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-119.58000,49.50000,0.00000,8.223011E-02,8.197942E-02,8.059067E-02,7.784485E-02,7.259303E-02,6.432817E-02,5.300317E-02,3.975760E-02,2.673081E-02,1.563896E-02,7.638543E-03,2.955408E-03,8.232516E-04,1.671616E-04,2.387297E-05,2.368117E-06,1.532039E-07,1.791256E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-119.48000,49.88000,0.00000,8.124336E-02,8.072598E-02,7.819939E-02,7.394726E-02,6.676611E-02,5.652512E-02,4.379069E-02,3.047527E-02,1.874366E-02,9.731450E-03,4.040202E-03,1.279674E-03,2.824645E-04,4.487670E-05,4.959978E-06,3.746583E-07,1.315962E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-114.08000,51.05000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
