#,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-11T11:00:18', checksum=2698779250, kind='mean', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,7.976843E-02,7.967322E-02,7.942855E-02,7.883697E-02,7.768095E-02,7.576516E-02,7.299548E-02,6.921806E-02,6.381854E-02,5.589205E-02,4.495265E-02,3.148248E-02,1.867419E-02,9.052265E-03,3.507083E-03,1.058931E-03,2.485020E-04,4.451374E-05,6.248657E-06,6.338142E-07,1.850607E-07
-125.88000,49.12000,0.00000,8.413126E-02,8.410073E-02,8.402103E-02,8.382251E-02,8.341630E-02,8.270200E-02,8.161434E-02,8.014110E-02,7.827826E-02,7.607801E-02,7.353590E-02,7.024109E-02,6.542619E-02,5.767191E-02,4.616779E-02,3.199692E-02,1.847614E-02,8.579536E-03,3.188841E-03,9.087875E-04,4.570500E-04
-125.24000,50.02000,0.00000,8.318610E-02,8.313438E-02,8.300324E-02,8.268782E-02,8.207019E-02,8.103697E-02,7.952181E-02,7.742355E-02,7.432678E-02,6.934770E-02,6.125916E-02,4.893687E-02,3.409714E-02,1.987698E-02,9.406223E-03,3.508400E-03,1.023214E-03,2.290825E-04,4.028059E-05,5.248181E-06,1.800062E-06
-124.80000,49.23300,0.00000,8.413159E-02,8.410405E-02,8.403290E-02,8.385806E-02,8.350648E-02,8.290057E-02,8.199534E-02,8.077914E-02,7.919212E-02,7.703968E-02,7.370906E-02,6.774172E-02,5.792189E-02,4.411820E-02,2.870084E-02,1.530600E-02,6.538340E-03,2.183285E-03,5.761531E-04,1.146397E-04,4.845822E-05
-123.93000,49.17000,0.00000,8.416509E-02,8.414053E-02,8.407696E-02,8.392065E-02,8.360661E-02,8.306534E-02,8.224838E-02,8.109608E-02,7.936452E-02,7.639205E-02,7.089215E-02,6.101342E-02,4.686800E-02,3.074979E-02,1.663272E-02,7.174057E-03,2.436169E-03,6.386964E-04,1.317567E-04,2.029336E-05,7.575333E-06
