#,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:19:52', checksum=1118768865, kind='mean', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,8.353602E-02,8.341085E-02,8.320981E-02,8.284754E-02,8.225090E-02,8.129130E-02,7.972687E-02,7.707822E-02,7.249578E-02,6.513451E-02,5.473966E-02,4.162614E-02,2.822427E-02,1.662778E-02,8.327837E-03,3.443819E-03,1.158245E-03,3.087071E-04,6.596791E-05,1.067091E-05,4.089670E-06
-125.88000,49.12000,0.00000,8.439849E-02,8.438908E-02,8.436731E-02,8.431642E-02,8.421376E-02,8.402739E-02,8.372468E-02,8.327934E-02,8.265692E-02,8.180257E-02,8.052380E-02,7.818096E-02,7.374405E-02,6.585567E-02,5.393447E-02,3.907602E-02,2.432785E-02,1.263270E-02,5.433761E-03,1.857323E-03,1.029236E-03
-125.24000,50.02000,0.00000,8.439106E-02,8.435352E-02,8.428672E-02,8.415681E-02,8.392984E-02,8.354987E-02,8.290535E-02,8.172128E-02,7.935641E-02,7.480820E-02,6.708042E-02,5.542336E-02,4.133088E-02,2.706910E-02,1.521740E-02,7.140886E-03,2.753699E-03,8.509312E-04,2.124687E-04,4.063714E-05,1.693034E-05
-124.80000,49.23300,0.00000,8.439894E-02,8.439234E-02,8.437681E-02,8.434025E-02,8.426599E-02,8.412895E-02,8.389654E-02,8.351526E-02,8.283766E-02,8.149015E-02,7.869148E-02,7.301695E-02,6.351274E-02,5.019930E-02,3.500217E-02,2.087195E-02,1.042867E-02,4.256806E-03,1.421919E-03,3.711681E-04,1.802271E-04
-123.93000,49.17000,0.00000,8.439923E-02,8.439439E-02,8.438256E-02,8.435394E-02,8.429387E-02,8.417533E-02,8.394033E-02,8.343549E-02,8.224630E-02,7.954457E-02,7.416730E-02,6.474967E-02,5.166423E-02,3.659343E-02,2.243792E-02,1.157850E-02,4.944742E-03,1.704880E-03,4.773993E-04,1.032307E-04,4.569473E-05
