#,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-11T11:05:49', checksum=279387790, kind='mean', investigation_time=50.0, imt='SA(2.0)'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,8.357061E-02,8.356343E-02,8.350372E-02,8.335190E-02,8.298656E-02,8.225848E-02,8.094360E-02,7.862000E-02,7.440056E-02,6.678758E-02,5.479483E-02,3.949136E-02,2.361840E-02,1.154993E-02,4.489433E-03,1.368010E-03,3.199334E-04,5.759981E-05,7.835189E-06,8.184588E-07,4.531859E-08,1.362830E-09
-125.88000,49.12000,0.00000,8.439988E-02,8.439966E-02,8.439630E-02,8.438347E-02,8.433989E-02,8.422299E-02,8.396553E-02,8.349924E-02,8.278093E-02,8.174042E-02,8.013767E-02,7.721700E-02,7.126259E-02,6.084418E-02,4.596725E-02,2.947107E-02,1.540546E-02,6.425315E-03,2.088943E-03,5.359520E-04,1.035075E-04,4.312222E-05
-125.24000,50.02000,0.00000,8.439987E-02,8.439814E-02,8.438141E-02,8.433399E-02,8.420803E-02,8.393182E-02,8.338786E-02,8.234065E-02,8.020260E-02,7.566159E-02,6.702480E-02,5.363321E-02,3.668060E-02,2.089928E-02,9.600111E-03,3.489445E-03,9.811290E-04,2.134103E-04,3.530104E-05,4.563325E-06,4.155613E-07,1.079627E-07
-124.80000,49.23300,0.00000,8.439988E-02,8.439973E-02,8.439741E-02,8.438832E-02,8.435698E-02,8.427143E-02,8.407742E-02,8.369812E-02,8.298883E-02,8.152341E-02,7.828816E-02,7.165245E-02,5.979321E-02,4.376489E-02,2.692534E-02,1.348663E-02,5.335837E-03,1.652456E-03,3.933763E-04,7.357536E-05,1.023009E-05,3.629155E-06
-123.93000,49.17000,0.00000,8.439988E-02,8.439977E-02,8.439811E-02,8.439134E-02,8.436695E-02,8.429661E-02,8.411917E-02,8.369219E-02,8.263030E-02,7.994431E-02,7.394931E-02,6.312852E-02,4.719061E-02,2.990582E-02,1.548736E-02,6.402587E-03,2.061172E-03,5.152827E-04,9.834991E-05,1.471621E-05,1.609887E-06,4.976980E-07
-123.40000,48.65000,0.00000,8.439988E-02,8.439986E-02,8.439950E-02,8.439764E-02,8.438949E-02,8.436097E-02,8.427438E-02,8.402615E-02,8.331107E-02,8.128889E-02,7.636803E-02,6.681106E-02,5.173493E-02,3.424824E-02,1.865449E-02,8.149275E-03,2.781968E-03,7.389914E-04,1.501591E-04,2.394014E-05,2.810012E-06,9.092207E-07
-123.37000,48.43000,0.00000,8.439988E-02,8.439987E-02,8.439969E-02,8.439872E-02,8.439405E-02,8.437648E-02,8.432087E-02,8.416054E-02,8.369876E-02,8.234438E-02,7.879611E-02,7.123951E-02,5.805312E-02,4.106555E-02,2.420687E-02,1.154669E-02,4.331936E-03,1.269244E-03,2.853660E-04,5.039195E-05,6.597634E-06,2.269080E-06
-123.15000,49.70000,0.00000,8.439988E-02,8.439924E-02,8.439174E-02,8.436637E-02,8.428186E-02,8.402169E-02,8.323434E-02,8.103910E-02,7.585481E-02,6.580985E-02,5.072809E-02,3.344769E-02,1.783975E-02,7.667194E-03,2.592442E-03,6.829393E-04,1.373837E-04,2.121333E-05,2.454968E-06,2.030465E-07,0.000000E+00,0.000000E+00
-123.12000,49.25000,0.00000,8.439988E-02,8.439972E-02,8.439732E-02,8.438774E-02,8.435234E-02,8.423717E-02,8.387353E-02,8.277472E-02,7.982944E-02,7.316268E-02,6.130646E-02,4.511349E-02,2.755911E-02,1.376102E-02,5.462440E-03,1.700590E-03,4.067049E-04,7.494853E-05,1.045117E-05,1.124026E-06,6.900210E-08,6.274003E-09
-122.32900,49.05200,0.00000,8.439988E-02,8.439974E-02,8.439742E-02,8.438700E-02,8.434167E-02,8.416340E-02,8.351995E-02,8.153705E-02,7.660878E-02,6.679209E-02,5.179378E-02,3.438409E-02,1.848165E-02,8.008050E-03,2.730867E-03,7.257827E-04,1.473482E-04,2.296866E-05,2.685775E-06,2.262751E-07,5.432482E-10,0.000000E+00
-121.95000,49.16700,0.00000,8.439988E-02,8.439960E-02,8.439503E-02,8.437435E-02,8.428136E-02,8.391374E-02,8.265410E-02,7.915408E-02,7.154287E-02,5.848019E-02,4.142513E-02,2.458640E-02,1.157506E-02,4.350675E-03,1.277704E-03,2.910533E-04,5.040189E-05,6.671567E-06,6.452248E-07,3.058071E-08,0.000000E+00,0.000000E+00
-120.32000,50.67000,0.00000,8.365794E-02,8.362729E-02,8.325170E-02,8.202083E-02,7.847056E-02,7.067230E-02,5.738395E-02,4.022907E-02,2.351680E-02,1.102783E-02,4.087946E-03,1.195955E-03,2.601539E-04,4.434560E-05,5.771643E-06,5.544205E-07,2.191385E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-119.58000,49.50000,0.00000,8.426899E-02,8.425424E-02,8.405625E-02,8.333901E-02,8.103823E-02,7.537393E-02,6.450056E-02,4.862417E-02,3.107509E-02,1.614891E-02,6.689957E-03,2.196982E-03,5.402108E-04,1.042087E-04,1.541090E-05,1.725997E-06,1.245077E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-119.48000,49.88000,0.00000,8.391987E-02,8.389204E-02,8.354285E-02,8.237983E-02,7.897773E-02,7.140283E-02,5.832245E-02,4.121144E-02,2.431966E-02,1.152682E-02,4.322049E-03,1.279489E-03,2.818328E-04,4.865294E-05,6.416410E-06,6.271741E-07,2.760540E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-114.08000,51.05000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
