#,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-11T11:05:49', checksum=279387790, kind='mean', investigation_time=50.0"
lon,lat,0.1~SA(0.2),0.1~SA(1.0),0.1~SA(2.0),0.02~SA(0.2),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82000,53.25000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32000,54.32000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.65000,54.07000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.302668E-01,2.192900E-01,1.567970E-01
-125.88000,49.12000,0.000000E+00,0.000000E+00,0.000000E+00,1.278889E+00,8.006679E-01,4.855286E-01
-125.24000,50.02000,0.000000E+00,0.000000E+00,0.000000E+00,3.434324E-01,2.997036E-01,2.068904E-01
-124.80000,49.23300,0.000000E+00,0.000000E+00,0.000000E+00,6.994736E-01,5.105549E-01,3.280056E-01
-123.93000,49.17000,0.000000E+00,0.000000E+00,0.000000E+00,4.601163E-01,3.748441E-01,2.492598E-01
-123.40000,48.65000,0.000000E+00,0.000000E+00,0.000000E+00,5.250294E-01,4.131879E-01,2.732765E-01
-123.37000,48.43000,0.000000E+00,0.000000E+00,0.000000E+00,6.351582E-01,4.750744E-01,3.096243E-01
-123.15000,49.70000,0.000000E+00,0.000000E+00,0.000000E+00,1.819221E-01,1.850177E-01,1.362566E-01
-123.12000,49.25000,0.000000E+00,0.000000E+00,0.000000E+00,2.555140E-01,2.390439E-01,1.693657E-01
-122.32900,49.05200,0.000000E+00,0.000000E+00,0.000000E+00,1.865594E-01,1.889012E-01,1.388284E-01
-121.95000,49.16700,0.000000E+00,0.000000E+00,0.000000E+00,1.370218E-01,1.498584E-01,1.131211E-01
-120.32000,50.67000,0.000000E+00,0.000000E+00,0.000000E+00,2.729616E-02,4.291506E-02,4.041569E-02
-119.58000,49.50000,0.000000E+00,0.000000E+00,0.000000E+00,3.528931E-02,5.286550E-02,4.719551E-02
-119.48000,49.88000,0.000000E+00,0.000000E+00,0.000000E+00,2.801070E-02,4.385047E-02,4.107632E-02
-114.08000,51.05000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
