#,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-11T10:58:09', checksum=4266724875, kind='mean', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,6.423893E-02,6.404747E-02,6.352048E-02,6.218832E-02,5.952627E-02,5.515769E-02,4.922438E-02,4.227378E-02,3.471537E-02,2.694813E-02,1.933313E-02,1.219396E-02,6.626417E-03,2.988293E-03,1.091550E-03,3.139473E-04,7.075323E-05,1.224109E-05,1.665660E-06,1.626077E-07,4.589146E-08
-125.88000,49.12000,0.00000,8.023045E-02,8.013678E-02,7.988637E-02,7.925469E-02,7.795660E-02,7.568273E-02,7.225890E-02,6.771218E-02,6.216642E-02,5.604574E-02,4.982063E-02,4.349448E-02,3.716096E-02,3.027645E-02,2.264651E-02,1.483194E-02,8.184751E-03,3.667172E-03,1.326027E-03,3.696518E-04,1.842507E-04
-125.24000,50.02000,0.00000,7.616527E-02,7.604001E-02,7.570083E-02,7.484356E-02,7.309816E-02,7.011091E-02,6.577826E-02,6.026429E-02,5.367924E-02,4.611340E-02,3.750082E-02,2.765495E-02,1.795962E-02,9.855102E-03,4.433779E-03,1.585814E-03,4.467822E-04,9.716247E-05,1.667014E-05,2.122820E-06,7.193381E-07
-124.80000,49.23300,0.00000,8.023123E-02,8.014492E-02,7.991578E-02,7.934362E-02,7.818458E-02,7.619119E-02,7.324667E-02,6.938267E-02,6.463171E-02,5.914241E-02,5.293584E-02,4.543900E-02,3.654245E-02,2.641341E-02,1.645907E-02,8.478221E-03,3.524483E-03,1.151963E-03,2.989122E-04,5.864650E-05,2.464467E-05
-123.93000,49.17000,0.00000,8.045711E-02,8.037753E-02,8.016558E-02,7.963619E-02,7.856628E-02,7.673457E-02,7.403991E-02,7.048498E-02,6.596053E-02,6.025698E-02,5.292098E-02,4.313519E-02,3.160760E-02,1.994324E-02,1.045842E-02,4.403717E-03,1.468186E-03,3.794422E-04,7.739558E-05,1.180698E-05,4.388732E-06
