#,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:11:59', checksum=3697540687, kind='mean', investigation_time=50.0, imt='SA(2.0)'"
lon,lat,depth,poe-0.0010000,poe-0.0030000,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000,poe-2.5000000
-132.10001,54.02000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82001,53.25000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32001,54.32000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.64999,54.07000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.00000,6.425840E-02,6.411029E-02,6.349970E-02,6.246621E-02,6.058012E-02,5.756327E-02,5.317602E-02,4.740745E-02,4.046486E-02,3.260021E-02,2.446409E-02,1.685643E-02,1.028155E-02,5.532031E-03,2.552375E-03,9.884040E-04,3.117881E-04,7.927223E-05,1.583635E-05,2.529717E-06,2.999436E-07,9.743214E-08
-125.88000,49.12000,0.00000,8.024061E-02,8.016453E-02,7.985249E-02,7.930950E-02,7.827680E-02,7.653826E-02,7.386269E-02,7.013334E-02,6.537799E-02,5.964157E-02,5.315840E-02,4.611501E-02,3.825440E-02,2.993731E-02,2.144761E-02,1.364272E-02,7.444029E-03,3.408069E-03,1.274133E-03,3.901293E-04,9.319411E-05,4.338182E-05
-125.24000,50.02000,0.00000,7.617847E-02,7.607897E-02,7.566834E-02,7.496011E-02,7.363389E-02,7.144330E-02,6.812503E-02,6.351055E-02,5.750009E-02,4.991579E-02,4.093293E-02,3.115105E-02,2.123051E-02,1.282840E-02,6.685484E-03,2.941447E-03,1.061769E-03,3.107974E-04,7.196733E-05,1.338379E-05,1.877180E-06,6.698015E-07
-124.80000,49.23300,0.00000,8.024064E-02,8.017117E-02,7.989065E-02,7.940917E-02,7.850407E-02,7.699424E-02,7.467966E-02,7.143319E-02,6.718614E-02,6.175635E-02,5.500063E-02,4.679801E-02,3.691335E-02,2.649345E-02,1.678500E-02,9.151949E-03,4.170409E-03,1.564463E-03,4.714946E-04,1.152474E-04,2.165324E-05,8.956826E-06
-123.93000,49.17000,0.00000,8.046571E-02,8.040135E-02,8.014192E-02,7.969811E-02,7.886621E-02,7.747824E-02,7.533102E-02,7.223514E-02,6.795809E-02,6.205539E-02,5.418152E-02,4.436330E-02,3.289800E-02,2.175061E-02,1.246544E-02,6.056739E-03,2.426176E-03,7.913228E-04,2.051501E-04,4.283460E-05,6.796380E-06,2.584041E-06
-123.40000,48.65000,0.00000,8.213128E-02,8.207757E-02,8.186481E-02,8.150457E-02,8.083453E-02,7.972394E-02,7.801197E-02,7.553397E-02,7.204787E-02,6.705014E-02,5.999596E-02,5.060222E-02,3.886802E-02,2.670010E-02,1.594038E-02,8.084182E-03,3.387004E-03,1.157316E-03,3.149446E-04,6.910937E-05,1.155842E-05,4.511256E-06
-123.37000,48.43000,0.00000,8.264159E-02,8.259349E-02,8.240309E-02,8.208057E-02,8.148028E-02,8.048564E-02,7.895780E-02,7.676693E-02,7.373007E-02,6.942494E-02,6.330276E-02,5.487655E-02,4.376725E-02,3.146398E-02,1.979214E-02,1.063363E-02,4.743575E-03,1.732796E-03,5.062314E-04,1.195746E-04,2.163335E-05,8.780219E-06
-123.15000,49.70000,0.00000,7.776165E-02,7.768592E-02,7.736789E-02,7.680705E-02,7.571700E-02,7.379794E-02,7.060786E-02,6.566256E-02,5.858075E-02,4.917511E-02,3.812215E-02,2.681888E-02,1.649258E-02,8.826170E-03,3.994492E-03,1.495659E-03,4.495727E-04,1.074942E-04,1.995514E-05,2.933971E-06,3.144041E-07,9.709378E-08
-123.12000,49.25000,0.00000,7.979045E-02,7.972480E-02,7.945707E-02,7.899469E-02,7.811549E-02,7.660658E-02,7.415052E-02,7.034534E-02,6.471419E-02,5.672215E-02,4.645189E-02,3.484494E-02,2.307969E-02,1.338762E-02,6.618675E-03,2.730635E-03,9.132319E-04,2.450131E-04,5.146725E-05,8.617233E-06,1.073629E-06,3.583579E-07
-122.32900,49.05200,0.00000,8.024063E-02,8.017090E-02,7.989126E-02,7.940804E-02,7.847402E-02,7.681458E-02,7.398476E-02,6.942847E-02,6.262391E-02,5.322227E-02,4.179298E-02,2.977673E-02,1.854635E-02,1.004766E-02,4.602106E-03,1.743378E-03,5.300429E-04,1.281489E-04,2.405177E-05,3.575216E-06,3.878239E-07,1.207522E-07
-121.95000,49.16700,0.00000,7.933994E-02,7.926587E-02,7.895992E-02,7.841254E-02,7.730930E-02,7.526375E-02,7.168949E-02,6.598699E-02,5.782612E-02,4.726929E-02,3.539856E-02,2.389877E-02,1.399967E-02,7.092892E-03,3.013610E-03,1.049334E-03,2.903894E-04,6.338963E-05,1.065971E-05,1.408543E-06,1.335935E-07,3.674422E-08
-120.32000,50.67000,0.00000,6.570692E-02,6.541824E-02,6.411389E-02,6.184964E-02,5.776651E-02,5.151037E-02,4.308987E-02,3.329207E-02,2.343919E-02,1.469586E-02,8.050813E-03,3.770503E-03,1.418426E-03,4.336738E-04,1.045683E-04,1.965252E-05,2.802791E-06,3.028268E-07,2.034969E-08,0.000000E+00,0.000000E+00,0.000000E+00
-119.58000,49.50000,0.00000,7.179236E-02,7.158796E-02,7.058311E-02,6.870914E-02,6.511848E-02,5.929917E-02,5.103433E-02,4.087113E-02,3.004148E-02,1.984254E-02,1.158647E-02,5.863823E-03,2.423682E-03,8.225492E-04,2.219924E-04,4.697686E-05,7.594429E-06,9.384864E-07,8.304706E-08,2.261319E-09,0.000000E+00,0.000000E+00
-119.48000,49.88000,0.00000,6.866088E-02,6.838504E-02,6.710346E-02,6.484164E-02,6.071446E-02,5.432668E-02,4.564908E-02,3.545995E-02,2.512141E-02,1.586646E-02,8.767977E-03,4.147913E-03,1.578550E-03,4.885560E-04,1.193059E-04,2.271619E-05,3.283954E-06,3.601975E-07,2.517171E-08,0.000000E+00,0.000000E+00,0.000000E+00
-114.08000,51.05000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.00000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
