#,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:11:59', checksum=3697540687, kind='mean', investigation_time=50.0"
lon,lat,0.1~SA(0.2),0.1~SA(1.0),0.1~SA(2.0),0.02~SA(0.2),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82000,53.25000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32000,54.32000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.65000,54.07000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.000000E+00,0.000000E+00,0.000000E+00,1.072610E-01,1.127700E-01,8.838315E-02
-125.88000,49.12000,0.000000E+00,0.000000E+00,0.000000E+00,7.523087E-01,4.671015E-01,2.990809E-01
-125.24000,50.02000,0.000000E+00,0.000000E+00,0.000000E+00,2.331274E-01,2.099324E-01,1.508992E-01
-124.80000,49.23300,0.000000E+00,0.000000E+00,0.000000E+00,5.174646E-01,3.792003E-01,2.496476E-01
-123.93000,49.17000,0.000000E+00,0.000000E+00,0.000000E+00,3.858562E-01,3.110345E-01,2.135384E-01
-123.40000,48.65000,0.000000E+00,0.000000E+00,0.000000E+00,4.641588E-01,3.657172E-01,2.450074E-01
-123.37000,48.43000,0.000000E+00,0.000000E+00,0.000000E+00,5.715215E-01,4.242939E-01,2.818590E-01
-123.15000,49.70000,0.000000E+00,0.000000E+00,0.000000E+00,1.644892E-01,1.679446E-01,1.266082E-01
-123.12000,49.25000,0.000000E+00,0.000000E+00,0.000000E+00,2.324077E-01,2.190319E-01,1.584148E-01
-122.32900,49.05200,0.000000E+00,0.000000E+00,0.000000E+00,1.810422E-01,1.831953E-01,1.373078E-01
-121.95000,49.16700,0.000000E+00,0.000000E+00,0.000000E+00,1.377479E-01,1.500887E-01,1.154251E-01
-120.32000,50.67000,0.000000E+00,0.000000E+00,0.000000E+00,2.861480E-02,4.443762E-02,4.217198E-02
-119.58000,49.50000,0.000000E+00,0.000000E+00,0.000000E+00,3.881427E-02,5.683650E-02,5.236201E-02
-119.48000,49.88000,0.000000E+00,0.000000E+00,0.000000E+00,3.043423E-02,4.720834E-02,4.445647E-02
-114.08000,51.05000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
