2015 NBCC with LRF-DMF Mean SA[0.2] Hazard (g)
 
---OQ NBCC---
 
Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset,0.1711,0.2119,0.2494,0.3637,0.4898,0.6333,0.7886,0.8366,1.0165,1.2208
Masset,0.3255,0.4223,0.5167,0.8001,1.1022,1.4182,1.7341,1.8367,2.2065,2.5000
Sandspit,0.2647,0.3392,0.4138,0.6335,0.8714,1.1346,1.3912,1.4812,1.7603,2.0768
Prince Rupert,0.0474,0.0584,0.0692,0.1034,0.1428,0.1876,0.2363,0.2530,0.3154,0.3903
Kitimat,0.0229,0.0290,0.0352,0.0559,0.0813,0.1128,0.1505,0.1646,0.2226,0.3052
Port Hardy,0.1384,0.1736,0.2082,0.3062,0.4144,0.5367,0.6628,0.7062,0.8573,1.0249
Tofino,0.0843,0.1084,0.1343,0.2447,0.4950,0.9337,1.3805,1.5323,1.9896,2.4873
Campbell River,0.0670,0.0868,0.1075,0.1805,0.2801,0.4066,0.5516,0.6000,0.7884,1.0127
Port Alberni,0.0937,0.1240,0.1565,0.2770,0.4482,0.6674,0.9040,0.9836,1.2573,1.5629
Nanaimo,0.1338,0.1766,0.2203,0.3613,0.5304,0.7294,0.9431,1.0177,1.2749,1.5696
Sidney,0.1776,0.2313,0.2861,0.4531,0.6492,0.8803,1.1340,1.2148,1.5237,1.8525
Victoria,0.1851,0.2412,0.2983,0.4773,0.6891,0.9374,1.2071,1.2959,1.6213,1.9794
Squamish,0.0754,0.0987,0.1218,0.1984,0.2923,0.4111,0.5514,0.6003,0.7924,1.0297
Vancouver (city hall),0.1167,0.1522,0.1871,0.2987,0.4323,0.5973,0.7859,0.8477,1.0882,1.3571
Abbotsford,0.1037,0.1328,0.1615,0.2516,0.3597,0.4937,0.6490,0.7039,0.9104,1.1611
Chilliwack,0.0775,0.0998,0.1211,0.1895,0.2715,0.3737,0.4939,0.5375,0.7045,0.9166
Kamloops,0.0127,0.0171,0.0218,0.0380,0.0601,0.0912,0.1315,0.1468,0.2079,0.2890
Penticton,0.0162,0.0216,0.0271,0.0454,0.0698,0.1031,0.1448,0.1601,0.2220,0.3032
Kelowna,0.0132,0.0177,0.0222,0.0381,0.0595,0.0897,0.1289,0.1439,0.2044,0.2855
Calgary,0.0096,0.0145,0.0199,0.0403,0.0698,0.1114,0.1644,0.1840,0.2622,0.3637
Edmonton,0.0031,0.0053,0.0079,0.0175,0.0321,0.0546,0.0864,0.0993,0.1547,0.2365

 
---OQ Alt---
 
Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset,0.1711,0.2119,0.2494,0.3637,0.4898,0.6333,0.7886,0.8366,1.0165,1.2208
Masset,0.3255,0.4223,0.5167,0.8001,1.1022,1.4182,1.7341,1.8367,2.2065,2.5000
Sandspit,0.2647,0.3392,0.4138,0.6335,0.8714,1.1346,1.3912,1.4812,1.7603,2.0768
Prince Rupert,0.0474,0.0584,0.0692,0.1034,0.1428,0.1876,0.2363,0.2530,0.3154,0.3903
Kitimat,0.0229,0.0290,0.0352,0.0559,0.0813,0.1128,0.1505,0.1646,0.2226,0.3052
Port Hardy,0.1384,0.1736,0.2082,0.3062,0.4144,0.5367,0.6628,0.7062,0.8573,1.0249
Tofino,0.0845,0.1085,0.1343,0.2447,0.4950,0.9337,1.3805,1.5323,1.9896,2.4873
Campbell River,0.0671,0.0868,0.1075,0.1805,0.2801,0.4066,0.5516,0.6000,0.7884,1.0127
Port Alberni,0.0945,0.1248,0.1572,0.2773,0.4483,0.6674,0.9040,0.9836,1.2573,1.5629
Nanaimo,0.1355,0.1783,0.2218,0.3622,0.5308,0.7296,0.9432,1.0177,1.2749,1.5696
Sidney,0.1831,0.2392,0.2957,0.4672,0.6645,0.8944,1.1458,1.2263,1.5323,1.8600
Victoria,0.1917,0.2518,0.3132,0.5129,0.7557,1.0473,1.3671,1.4815,1.8694,2.3191
Squamish,0.0759,0.0992,0.1222,0.1985,0.2924,0.4112,0.5514,0.6003,0.7924,1.0297
Vancouver (city hall),0.1180,0.1535,0.1883,0.2993,0.4326,0.5975,0.7860,0.8478,1.0882,1.3571
Abbotsford,0.1050,0.1344,0.1630,0.2530,0.3608,0.4943,0.6493,0.7042,0.9106,1.1612
Chilliwack,0.0784,0.1008,0.1221,0.1904,0.2722,0.3741,0.4942,0.5377,0.7046,0.9166
Kamloops,0.0128,0.0172,0.0218,0.0380,0.0601,0.0912,0.1315,0.1468,0.2079,0.2890
Penticton,0.0163,0.0217,0.0272,0.0455,0.0699,0.1031,0.1448,0.1601,0.2220,0.3032
Kelowna,0.0133,0.0177,0.0223,0.0381,0.0595,0.0897,0.1289,0.1439,0.2044,0.2855
Calgary,0.0096,0.0145,0.0199,0.0403,0.0698,0.1114,0.1644,0.1840,0.2622,0.3637
Edmonton,0.0031,0.0053,0.0079,0.0175,0.0321,0.0546,0.0864,0.0993,0.1547,0.2365

 
---Ratios---	GSCFRISK / OQ
 
Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Masset,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Sandspit,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Prince Rupert,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Kitimat,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Port Hardy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Tofino,0.9985,0.9991,0.9995,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Campbell River,0.9991,0.9995,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Port Alberni,0.9915,0.9937,0.9956,0.9988,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000
Nanaimo,0.9875,0.9906,0.9933,0.9976,0.9992,0.9998,0.9999,0.9999,1.0000,1.0000
Sidney,0.9699,0.9672,0.9674,0.9698,0.9769,0.9842,0.9897,0.9906,0.9943,0.9960
Victoria,0.9660,0.9580,0.9525,0.9307,0.9119,0.8951,0.8830,0.8748,0.8673,0.8535
Squamish,0.9923,0.9946,0.9966,0.9991,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000
Vancouver (city hall),0.9884,0.9914,0.9934,0.9978,0.9993,0.9998,0.9999,1.0000,1.0000,1.0000
Abbotsford,0.9873,0.9881,0.9905,0.9945,0.9971,0.9987,0.9994,0.9995,0.9998,0.9999
Chilliwack,0.9886,0.9894,0.9917,0.9952,0.9975,0.9989,0.9995,0.9996,0.9999,1.0000
Kamloops,0.9957,0.9976,0.9987,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Penticton,0.9930,0.9948,0.9962,0.9983,0.9994,0.9998,1.0000,1.0000,1.0000,1.0000
Kelowna,0.9939,0.9958,0.9971,0.9991,0.9997,0.9999,1.0000,1.0000,1.0000,1.0000
Calgary,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Edmonton,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000

 
---% Difference---	OQ NBCC / OQ Alt
 
Location,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Masset,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sandspit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Prince Rupert,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kitimat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Port Hardy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tofino,0.15,0.09,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Campbell River,0.09,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Port Alberni,0.85,0.63,0.45,0.12,0.02,0.00,0.00,0.00,0.00,0.00
Nanaimo,1.26,0.95,0.67,0.24,0.08,0.02,0.01,0.01,0.00,0.00
Sidney,3.05,3.34,3.31,3.07,2.33,1.59,1.03,0.94,0.57,0.40
Victoria,3.46,4.29,4.87,7.18,9.22,11.07,12.43,13.36,14.21,15.81
Squamish,0.77,0.54,0.34,0.09,0.02,0.00,0.00,0.00,0.00,0.00
Vancouver (city hall),1.16,0.86,0.67,0.22,0.07,0.02,0.01,0.00,0.00,0.00
Abbotsford,1.28,1.19,0.95,0.56,0.29,0.13,0.06,0.05,0.02,0.01
Chilliwack,1.15,1.07,0.84,0.48,0.25,0.11,0.05,0.04,0.01,0.00
Kamloops,0.43,0.24,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.00
Penticton,0.70,0.52,0.38,0.17,0.06,0.02,0.00,0.00,0.00,0.00
Kelowna,0.61,0.42,0.29,0.09,0.03,0.01,0.00,0.00,0.00,0.00
Calgary,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Edmonton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
