# mean, investigation_time=50.0,imt=SA(0.2),,,,,,,,,,,,,,,,,,,,,
lon,lat,0.001:float32,0.003:float32,0.005:float32,0.007:float32,0.0098:float32,0.0137:float32,0.0192:float32,0.0269:float32,0.0376:float32,0.0527:float32,0.0738:float32,0.103:float32,0.145:float32,0.203:float32,0.284:float32,0.397:float32,0.556:float32,0.778:float32,1.09:float32,1.52:float32,2.13:float32,2.5:float32
-132.10001,54.02,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.99E-01,9.92E-01,9.65E-01,8.96E-01,7.65E-01,5.82E-01,3.80E-01,2.08E-01,9.36E-02,3.51E-02,1.14E-02,3.48E-03,1.00E-03,5.40E-04
-132.08,53.26,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.98E-01,9.87E-01,9.51E-01,8.75E-01,7.52E-01,5.88E-01,4.06E-01,2.37E-01,1.12E-01,4.24E-02,1.21E-02,5.99E-03
-131.82001,53.25,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.99E-01,9.93E-01,9.70E-01,9.10E-01,8.00E-01,6.46E-01,4.65E-01,2.88E-01,1.48E-01,6.04E-02,1.96E-02,4.82E-03,2.27E-03
-130.32001,54.32,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.99E-01,9.93E-01,9.66E-01,8.97E-01,7.70E-01,5.91E-01,3.96E-01,2.30E-01,1.12E-01,4.75E-02,1.84E-02,7.24E-03,3.11E-03,1.40E-03,6.12E-04,2.46E-04,8.48E-05,4.83E-05
-128.64999,54.07,1.00E+00,1.00E+00,9.97E-01,9.86E-01,9.49E-01,8.66E-01,7.30E-01,5.58E-01,3.83E-01,2.35E-01,1.30E-01,6.63E-02,3.22E-02,1.66E-02,9.03E-03,4.99E-03,2.64E-03,1.31E-03,5.92E-04,2.41E-04,8.39E-05,4.79E-05
-127.42,50.7,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.99E-01,9.90E-01,9.49E-01,8.47E-01,6.74E-01,4.69E-01,2.81E-01,1.43E-01,6.16E-02,2.26E-02,7.04E-03,1.93E-03,4.55E-04,2.19E-04
-125.88,49.12,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.96E-01,9.71E-01,8.87E-01,7.31E-01,5.49E-01,3.84E-01,2.66E-01,1.86E-01,1.34E-01,9.67E-02,6.70E-02,4.11E-02,2.11E-02,8.43E-03,4.96E-03
-125.24,50.02,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.95E-01,9.68E-01,8.94E-01,7.59E-01,5.91E-01,4.31E-01,2.95E-01,1.92E-01,1.17E-01,6.53E-02,3.29E-02,1.51E-02,6.38E-03,2.52E-03,8.91E-04,5.17E-04
-124.8,49.233,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.98E-01,9.88E-01,9.52E-01,8.73E-01,7.49E-01,5.99E-01,4.45E-01,3.14E-01,2.11E-01,1.35E-01,7.89E-02,4.07E-02,1.77E-02,6.42E-03,1.88E-03,9.80E-04
-123.93,49.17,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.99E-01,9.97E-01,9.85E-01,9.50E-01,8.76E-01,7.59E-01,6.08E-01,4.50E-01,3.05E-01,1.86E-01,1.00E-01,4.74E-02,1.91E-02,6.70E-03,1.97E-03,1.04E-03
