# mean, investigation_time=50.0,imt=SA(1.0)
lon,lat,0.003:float32,0.005:float32,0.007:float32,0.0098:float32,0.0137:float32,0.0192:float32,0.0269:float32,0.0376:float32,0.0527:float32,0.0738:float32,0.103:float32,0.145:float32,0.203:float32,0.284:float32,0.397:float32,0.556:float32,0.778:float32,1.09:float32,1.52:float32,2.13:float32,2.5:float32
-132.10001,54.02000,1.000000E+00,9.999999E-01,9.999959E-01,9.999256E-01,9.992553E-01,9.952626E-01,9.797305E-01,9.384649E-01,8.567989E-01,7.310412E-01,5.716339E-01,3.945552E-01,2.375104E-01,1.217892E-01,5.257489E-02,1.886530E-02,5.701355E-03,1.471055E-03,3.469789E-04,7.613678E-05,3.690248E-05
-132.08000,53.26000,1.000000E+00,1.000000E+00,9.999999E-01,9.999956E-01,9.999118E-01,9.990686E-01,9.943839E-01,9.784401E-01,9.404334E-01,8.724805E-01,7.734037E-01,6.415291E-01,4.898462E-01,3.336771E-01,1.969421E-01,9.770004E-02,4.017017E-02,1.343164E-02,3.704910E-03,8.084174E-04,3.635612E-04
-131.82001,53.25000,1.000000E+00,1.000000E+00,9.999998E-01,9.999897E-01,9.998218E-01,9.983504E-01,9.910035E-01,9.679830E-01,9.168393E-01,8.311599E-01,7.135534E-01,5.661807E-01,4.082665E-01,2.592829E-01,1.413110E-01,6.432214E-02,2.421572E-02,7.421114E-03,1.888837E-03,3.848216E-04,1.689338E-04
-130.32001,54.32000,9.999992E-01,9.999291E-01,9.993278E-01,9.957043E-01,9.805241E-01,9.348174E-01,8.363300E-01,6.804420E-01,4.886250E-01,3.048110E-01,1.641815E-01,7.358324E-02,2.804169E-02,9.010348E-03,2.501513E-03,6.342951E-04,1.670986E-04,4.949284E-05,1.603743E-05,4.952108E-06,2.745214E-06
-128.64999,54.07000,9.999691E-01,9.990413E-01,9.942513E-01,9.750279E-01,9.202675E-01,8.060212E-01,6.329913E-01,4.374588E-01,2.620891E-01,1.358798E-01,6.092033E-02,2.279660E-02,7.542267E-03,2.316870E-03,7.383614E-04,2.651470E-04,1.049155E-04,4.109397E-05,1.508302E-05,4.867052E-06,2.716722E-06
-127.42000,50.70000,1.000000E+00,1.000000E+00,9.999999E-01,9.999883E-01,9.996486E-01,9.953693E-01,9.695603E-01,8.886158E-01,7.384681E-01,5.550710E-01,3.840691E-01,2.422244E-01,1.403441E-01,7.292913E-02,3.332971E-02,1.305393E-02,4.347334E-03,1.212111E-03,2.904438E-04,5.822085E-05,2.589265E-05
-125.88000,49.12000,1.000000E+00,9.999999E-01,9.999911E-01,9.997047E-01,9.958366E-01,9.700034E-01,8.811254E-01,7.131987E-01,5.147991E-01,3.509740E-01,2.412699E-01,1.709453E-01,1.267095E-01,9.532525E-02,6.984022E-02,4.726804E-02,2.824586E-02,1.428205E-02,6.028615E-03,2.030897E-03,1.119228E-03
-125.24000,50.02000,1.000000E+00,9.999961E-01,9.998581E-01,9.977702E-01,9.826179E-01,9.228569E-01,7.888757E-01,6.041427E-01,4.237855E-01,2.853587E-01,1.904292E-01,1.238820E-01,7.786918E-02,4.539210E-02,2.377136E-02,1.084654E-02,4.272677E-03,1.441156E-03,4.312492E-04,1.138994E-04,5.886797E-05
-124.80000,49.23300,1.000000E+00,9.999980E-01,9.999281E-01,9.987808E-01,9.895369E-01,9.491094E-01,8.491083E-01,6.953644E-01,5.246433E-01,3.744293E-01,2.596043E-01,1.755013E-01,1.180931E-01,7.739201E-02,4.766820E-02,2.630531E-02,1.256290E-02,5.015685E-03,1.673041E-03,4.471579E-04,2.222752E-04
-123.93000,49.17000,1.000000E+00,9.999940E-01,9.998799E-01,9.986237E-01,9.907441E-01,9.609469E-01,8.902359E-01,7.750526E-01,6.297693E-01,4.800238E-01,3.458342E-01,2.324324E-01,1.468965E-01,8.551560E-02,4.491848E-02,2.069155E-02,8.238129E-03,2.776882E-03,8.061740E-04,1.966525E-04,9.604515E-05
-123.40000,48.65000,1.000000E+00,9.999965E-01,9.999402E-01,9.993488E-01,9.955924E-01,9.803352E-01,9.391422E-01,8.598092E-01,7.401588E-01,5.947482E-01,4.459627E-01,3.078317E-01,1.976778E-01,1.165498E-01,6.225300E-02,2.945370E-02,1.221012E-02,4.355138E-03,1.358885E-03,3.617593E-04,1.846823E-04
-123.37000,48.43000,1.000000E+00,9.999968E-01,9.999465E-01,9.994217E-01,9.960881E-01,9.824117E-01,9.447160E-01,8.700885E-01,7.542285E-01,6.099707E-01,4.601862E-01,3.205584E-01,2.093931E-01,1.272012E-01,7.099812E-02,3.551175E-02,1.564593E-02,5.921367E-03,1.939349E-03,5.319483E-04,2.728985E-04
-123.15000,49.70000,9.999943E-01,9.996601E-01,9.972095E-01,9.851348E-01,9.467706E-01,8.626989E-01,7.307631E-01,5.726244E-01,4.150838E-01,2.810574E-01,1.791036E-01,1.051746E-01,5.760055E-02,2.889435E-02,1.316204E-02,5.400958E-03,2.034660E-03,7.147476E-04,2.421869E-04,7.616098E-05,4.277406E-05
-123.12000,49.25000,9.999993E-01,9.999460E-01,9.994085E-01,9.958364E-01,9.808134E-01,9.381641E-01,8.533953E-01,7.277725E-01,5.766408E-01,4.250458E-01,2.924026E-01,1.840218E-01,1.067685E-01,5.600481E-02,2.620588E-02,1.075227E-02,3.887204E-03,1.244803E-03,3.700808E-04,1.014228E-04,5.385814E-05
