# mean, investigation_time=50.0,imt=SA(2.0)
lon,lat,0.001:float32,0.003:float32,0.005:float32,0.007:float32,0.0098:float32,0.0137:float32,0.0192:float32,0.0269:float32,0.0376:float32,0.0527:float32,0.0738:float32,0.103:float32,0.145:float32,0.203:float32,0.284:float32,0.397:float32,0.556:float32,0.778:float32,1.09:float32,1.52:float32,2.13:float32,2.5:float32
-132.10001,54.02000,1.000000E+00,9.999908E-01,9.996240E-01,9.975154E-01,9.886649E-01,9.631698E-01,9.095587E-01,8.228839E-01,7.054758E-01,5.611557E-01,4.041707E-01,2.575379E-01,1.389551E-01,6.380280E-02,2.445440E-02,7.776087E-03,2.025591E-03,4.384880E-04,7.940872E-05,1.285992E-05,1.850415E-06,7.245521E-07
-132.08000,53.26000,1.000000E+00,9.999995E-01,9.999436E-01,9.993959E-01,9.961830E-01,9.845620E-01,9.558047E-01,9.037042E-01,8.278913E-01,7.288745E-01,6.088567E-01,4.725872E-01,3.267511E-01,1.976836E-01,1.015468E-01,4.347315E-02,1.517728E-02,4.311115E-03,9.799486E-04,1.820749E-04,2.605834E-05,9.469041E-06
-131.82001,53.25000,1.000000E+00,9.999990E-01,9.999012E-01,9.990430E-01,9.943971E-01,9.786228E-01,9.416651E-01,8.779725E-01,7.892068E-01,6.772446E-01,5.461616E-01,4.044355E-01,2.631029E-01,1.484670E-01,7.072355E-02,2.800209E-02,9.029973E-03,2.370592E-03,4.985491E-04,8.606588E-05,1.150330E-05,4.056715E-06
-130.32001,54.32000,9.999999E-01,9.994805E-01,9.935433E-01,9.756561E-01,9.296912E-01,8.418130E-01,7.080598E-01,5.420740E-01,3.709202E-01,2.213450E-01,1.139392E-01,5.025644E-02,1.812169E-02,5.513238E-03,1.400171E-03,3.033325E-04,5.877022E-05,1.150011E-05,2.458262E-06,5.684802E-07,1.242854E-07,5.771385E-08
-128.64999,54.07000,9.999964E-01,9.970906E-01,9.764709E-01,9.304129E-01,8.380989E-01,6.972437E-01,5.242839E-01,3.516070E-01,2.086097E-01,1.072359E-01,4.730270E-02,1.782783E-02,5.499839E-03,1.477574E-03,3.595838E-04,8.833736E-05,2.394643E-05,7.072631E-06,2.032689E-06,5.393911E-07,1.211009E-07,5.624886E-08
-127.42000,50.70000,1.000000E+00,9.999997E-01,9.998972E-01,9.983501E-01,9.864655E-01,9.386539E-01,8.280449E-01,6.674262E-01,4.998895E-01,3.533819E-01,2.377144E-01,1.508306E-01,8.658092E-02,4.474680E-02,2.016551E-02,7.749683E-03,2.467050E-03,6.454145E-04,1.359674E-04,2.364999E-05,3.225921E-06,1.159943E-06
-125.88000,49.12000,1.000000E+00,9.999924E-01,9.991093E-01,9.913046E-01,9.525203E-01,8.469548E-01,6.745371E-01,4.899803E-01,3.428752E-01,2.419766E-01,1.773422E-01,1.350382E-01,1.039274E-01,7.915988E-02,5.691306E-02,3.685673E-02,2.052852E-02,9.557794E-03,3.613583E-03,1.113175E-03,2.666051E-04,1.241611E-04
-125.24000,50.02000,1.000000E+00,9.999253E-01,9.962882E-01,9.759862E-01,9.068577E-01,7.689177E-01,5.891081E-01,4.207576E-01,2.928431E-01,2.030114E-01,1.408481E-01,9.589958E-02,6.093526E-02,3.543987E-02,1.815736E-02,7.979851E-03,2.919265E-03,8.807317E-04,2.155149E-04,4.409090E-05,7.331351E-06,2.956714E-06
-124.80000,49.23300,1.000000E+00,9.999605E-01,9.979041E-01,9.855985E-01,9.404767E-01,8.413218E-01,6.946934E-01,5.346931E-01,3.916596E-01,2.766672E-01,1.922699E-01,1.333985E-01,9.079774E-02,5.986862E-02,3.639624E-02,1.951970E-02,8.850611E-03,3.319458E-03,1.002644E-03,2.463231E-04,4.677101E-05,1.950661E-05
-123.93000,49.17000,1.000000E+00,9.999205E-01,9.974545E-01,9.861662E-01,9.507203E-01,8.766619E-01,7.623884E-01,6.236696E-01,4.819241E-01,3.517222E-01,2.439381E-01,1.612738E-01,9.914576E-02,5.671762E-02,2.924221E-02,1.321354E-02,5.053379E-03,1.608275E-03,4.150566E-04,8.826490E-05,1.475850E-05,5.858637E-06
-123.40000,48.65000,1.000000E+00,9.999383E-01,9.983405E-01,9.914542E-01,9.695880E-01,9.205123E-01,8.354058E-01,7.168205E-01,5.782874E-01,4.357497E-01,3.074861E-01,2.042195E-01,1.253001E-01,7.162899E-02,3.717276E-02,1.707782E-02,6.711285E-03,2.216545E-03,5.994052E-04,1.347766E-04,2.410952E-05,9.924875E-06
-123.37000,48.43000,1.000000E+00,9.999416E-01,9.984555E-01,9.920846E-01,9.717868E-01,9.257112E-01,8.443629E-01,7.285836E-01,5.906078E-01,4.466421E-01,3.165077E-01,2.122287E-01,1.330629E-01,7.891644E-02,4.309313E-02,2.102975E-02,8.823409E-03,3.113850E-03,8.981446E-04,2.140010E-04,4.013914E-05,1.679217E-05
-123.15000,49.70000,9.999996E-01,9.984431E-01,9.826971E-01,9.443496E-01,8.655099E-01,7.443443E-01,5.953173E-01,4.442755E-01,3.122179E-01,2.067599E-01,1.296640E-01,7.680414E-02,4.143627E-02,2.041116E-02,8.890226E-03,3.351805E-03,1.070191E-03,2.926976E-04,6.958266E-05,1.531243E-05,3.062318E-06,1.390466E-06
-123.12000,49.25000,9.999999E-01,9.995579E-01,9.932827E-01,9.742905E-01,9.277859E-01,8.436767E-01,7.227893E-01,5.805668E-01,4.377495E-01,3.086890E-01,2.039752E-01,1.260681E-01,7.058833E-02,3.596826E-02,1.621337E-02,6.331448E-03,2.083773E-03,5.761103E-04,1.329028E-04,2.682855E-05,4.683686E-06,1.977597E-06
-122.32900,49.05200,9.999980E-01,9.982353E-01,9.852691E-01,9.568526E-01,8.987140E-01,8.037895E-01,6.744048E-01,5.268515E-01,3.829866E-01,2.580242E-01,1.619488E-01,9.496767E-02,5.049430E-02,2.456362E-02,1.063187E-02,4.020860E-03,1.303272E-03,3.667666E-04,9.083185E-05,2.090939E-05,4.348031E-06,2.001415E-06
-121.95000,49.16700,9.999865E-01,9.947630E-01,9.686338E-01,9.225335E-01,8.410392E-01,7.227411E-01,5.770571E-01,4.259969E-01,2.918158E-01,1.854674E-01,1.104818E-01,6.200300E-02,3.173347E-02,1.491354E-02,6.231019E-03,2.274008E-03,7.162202E-04,1.998486E-04,5.058054E-05,1.218304E-05,2.664432E-06,1.247536E-06
-120.32000,50.67000,9.885098E-01,8.210735E-01,6.231382E-01,4.698704E-01,3.261911E-01,2.115103E-01,1.302654E-01,7.796730E-02,4.560926E-02,2.538262E-02,1.306176E-02,6.012378E-03,2.321729E-03,7.729959E-04,2.256672E-04,6.223716E-05,1.743680E-05,5.074982E-06,1.420726E-06,3.676174E-07,8.153236E-08,3.765710E-08
-119.58000,49.50000,9.957958E-01,8.844869E-01,7.117326E-01,5.582412E-01,4.003545E-01,2.648264E-01,1.641841E-01,9.829345E-02,5.784116E-02,3.287945E-02,1.761589E-02,8.586422E-03,3.548247E-03,1.251678E-03,3.726117E-04,9.732977E-05,2.390968E-05,6.043106E-06,1.551167E-06,3.837566E-07,8.451072E-08,3.903651E-08
-119.48000,49.88000,9.927201E-01,8.496218E-01,6.571101E-01,4.996436E-01,3.476496E-01,2.243912E-01,1.368390E-01,8.100070E-02,4.700970E-02,2.608635E-02,1.344880E-02,6.221374E-03,2.417235E-03,8.081874E-04,2.355850E-04,6.429141E-05,1.771255E-05,5.083955E-06,1.412895E-06,3.642136E-07,8.074070E-08,3.728382E-08
-114.08000,51.05000,7.756422E-01,4.546533E-01,2.944457E-01,2.028786E-01,1.296224E-01,7.698905E-02,4.252682E-02,2.223288E-02,1.123770E-02,5.523013E-03,2.687842E-03,1.306646E-03,6.155059E-04,2.868803E-04,1.290521E-04,5.507562E-05,2.170629E-05,7.796218E-06,2.484594E-06,7.052196E-07,1.691311E-07,8.110054E-08
-113.47000,53.55000,3.964261E-01,1.716286E-01,9.842879E-02,6.309643E-02,3.768669E-02,2.098098E-02,1.086091E-02,5.329169E-03,2.551566E-03,1.213677E-03,5.910607E-04,2.973429E-04,1.486580E-04,7.429015E-05,3.589790E-05,1.641559E-05,6.903497E-06,2.626728E-06,8.777107E-07,2.574381E-07,6.274557E-08,3.011442E-08
